,R.test,R.test,R.test,rmse.test,rmse.test,rmse.test,R.fit,R.fit,R.fit,rmse.fit,rmse.fit,rmse.fit
ccd5_43,0.861,0.881,0.906,1.786,1.801,1.549,0.953,1,1,1.259,0,0.048
oacd5_50,0.861,0.82,0.648,1.764,2.362,2.905,0.942,1,1,1.389,0,0.089
ccd3_43,0.867,0.885,0.858,1.773,1.702,1.921,0.948,1,1,1.393,0,0.049
soa_32,0.723,0.669,0.686,2.355,2.621,2.576,0.917,1,1,0.938,0,0.054
oacd3_50,0.869,0.925,0.92,1.846,1.447,1.486,0.954,1,1,1.338,0.006,0.088
full_243,0.897,1,0.998,1.483,0,0.235,0.897,1,0.998,1.483,0,0.235
wplhd_49,0.772,0.774,0.738,2.48,2.814,2.492,0.821,1,0.999,0.817,0,0.057
lhd_50,0.575,0.66,0.517,3.362,3.8,3.65,0.862,1,0.985,0.332,0,0.124
lhd2_50,0.586,0.428,0.601,3.25,3.553,3.334,0.88,1,0.992,0.345,0,0.101
lhd_100,0.689,0.657,0.748,2.836,3.136,2.96,0.826,1,0.949,0.619,0,0.413
lhd2_100,0.743,0.796,0.83,2.801,2.919,2.617,0.829,1,0.98,0.519,0,0.218
lhd_243,0.727,0.74,0.76,2.684,2.442,2.373,0.814,1,0.976,0.667,0,0.275
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ccd5_43,0.607,0.64,0.639,1.903,2,1.788,0.953,1,1,1.259,0,0.048
oacd5_50,0.585,0.012,0.212,1.74,2.458,1.814,0.942,1,1,1.389,0,0.089
ccd3_43,0.583,0.016,0.585,1.85,3.96,1.719,0.948,1,1,1.393,0,0.049
soa_32,0.577,0.424,0.533,1.291,1.465,1.452,0.917,1,1,0.938,0,0.054
oacd3_50,0.629,0.585,0.598,2.058,2.32,2.146,0.954,1,1,1.338,0.006,0.088
full_243,0.682,0.762,0.787,1.414,1.315,1.068,0.897,1,0.998,1.483,0,0.235
wplhd_49,0.766,0.866,0.849,0.784,0.615,0.642,0.821,1,0.999,0.817,0,0.057
lhd_50,0.676,0.677,0.661,0.884,0.908,0.905,0.862,1,0.985,0.332,0,0.124
lhd2_50,0.605,0.501,0.659,0.933,1.005,0.908,0.88,1,0.992,0.345,0,0.101
lhd_100,0.772,0.819,0.866,0.732,0.659,0.618,0.826,1,0.949,0.619,0,0.413
lhd2_100,0.633,0.758,0.754,0.891,0.771,0.777,0.829,1,0.98,0.519,0,0.218
lhd_243,0.814,1,0.976,0.667,0,0.275,0.814,1,0.976,0.667,0,0.275
mix_486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ccd5_43,0.805,0.827,0.856,1.845,1.903,1.673,0.953,1,1,1.259,0,0.048
oacd5_50,0.812,0.763,0.637,1.752,2.411,2.421,0.942,1,1,1.389,0,0.089
ccd3_43,0.813,0.646,0.809,1.812,2.869,1.823,0.948,1,1,1.393,0,0.049
soa_32,0.723,0.64,0.683,1.899,2.124,2.091,0.917,1,1,0.938,0,0.054
oacd3_50,0.81,0.83,0.839,1.955,1.928,1.846,0.954,1,1,1.338,0.006,0.088
full_243,0.855,0.947,0.961,1.449,0.93,0.773,0.897,1,0.998,1.483,0,0.235
wplhd_49,0.773,0.742,0.764,1.839,2.037,1.82,0.821,1,0.999,0.817,0,0.057
lhd_50,0.61,0.498,0.522,2.458,2.762,2.659,0.862,1,0.985,0.332,0,0.124
lhd2_50,0.628,0.488,0.642,2.391,2.611,2.443,0.88,1,0.992,0.345,0,0.101
lhd_100,0.716,0.667,0.76,2.071,2.266,2.138,0.826,1,0.949,0.619,0,0.413
lhd2_100,0.754,0.792,0.83,2.078,2.135,1.93,0.829,1,0.98,0.519,0,0.218
lhd_243,0.759,0.79,0.806,1.956,1.727,1.689,0.814,1,0.976,0.667,0,0.275
full_1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ccd5_43,0.819,0.823,0.847,1.803,1.947,1.744,0.953,1,1,1.259,0,0.048
oacd5_50,0.817,0.751,0.544,1.754,2.83,2.776,0.942,1,1,1.389,0,0.089
ccd3_43,0.822,0.668,0.814,1.8,3.007,1.808,0.948,1,1,1.393,0,0.049
soa_32,0.737,0.664,0.686,1.881,2.109,2.116,0.917,1,1,0.938,0,0.054
oacd3_50,0.832,0.858,0.86,1.892,1.841,1.788,0.954,1,1,1.338,0.006,0.088
full_243,0.865,0.948,0.957,1.412,0.935,0.819,0.897,1,0.998,1.483,0,0.235
wplhd_49,0.781,0.783,0.765,1.886,2.075,1.878,0.821,1,0.999,0.817,0,0.057
lhd_50,0.628,0.599,0.576,2.554,2.862,2.758,0.862,1,0.985,0.332,0,0.124
lhd2_50,0.599,0.449,0.608,2.521,2.744,2.564,0.88,1,0.992,0.345,0,0.101
lhd_100,0.725,0.68,0.777,2.137,2.354,2.213,0.826,1,0.949,0.619,0,0.413
lhd2_100,0.755,0.814,0.84,2.163,2.171,1.98,0.829,1,0.98,0.519,0,0.218
lhd_243,0.756,0.789,0.807,2.034,1.792,1.753,0.814,1,0.976,0.667,0,0.275
