"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",25,3,55,1000,0.5,0.5,0.5,0.549922844444453,0.547908977777782,0.53746417777778,0.552960711111113,0.544973511111116,0.549444977777772,0.559616711111106,0.54555377777777,0.546304711111112,0.546270577777772
"2",25,3,59,1292,0.8,0.6125,0.6125,0.552551111111105,0.542652444444437,0.555588977777785,0.544973511111116,0.549820444444439,0.540467911111113,0.546680177777779,0.552892444444453,0.549001244444451,0.535450311111116
"3",25,3,61,1438,0.95,0.275,0.275,0.547567644444441,0.54551964444445,0.557022577777781,0.54845511111111,0.548284444444443,0.544563911111108,0.544427377777788,0.538624711111116,0.54695324444444,0.547226311111114
"4",25,3,57,1146,0.65,0.8375,0.8375,0.539648711111118,0.54043377777778,0.55821724444443,0.540024177777779,0.550195911111107,0.53258311111111,0.552653511111112,0.539478044444444,0.544051911111114,0.545451377777777
"5",25,3,53,854,0.35,0.1625,0.1625,0.552960711111113,0.553745777777781,0.54241351111111,0.546372977777779,0.543915377777773,0.54060444444444,0.54538311111111,0.550503111111107,0.547260444444433,0.541628444444449
"6",25,3,49,562,0.05,0.725,0.725,0.546475377777772,0.563883377777769,0.562688711111113,0.550912711111108,0.561596444444444,0.558114844444443,0.561596444444444,0.56285937777778,0.562108444444452,0.55797831111111
"7",25,3,51,708,0.2,0.3875,0.3875,0.548284444444443,0.547704177777775,0.554940444444436,0.549752177777772,0.539546311111118,0.550537244444434,0.55507697777777,0.550946844444442,0.540126577777772,0.557261511111108
"8",25,3,81,958,0.81875,0.21875,0.05,0.597982577777781,0.608700444444436,0.590916977777779,0.58825457777778,0.606857244444439,0.616892444444447,0.601532444444448,0.599620977777771,0.60262471111111,0.614230044444442
"9",25,3,85,1250,0.9125,0.93125,0.81875,0.55002524444444,0.558251377777777,0.556203377777766,0.540843377777767,0.551936711111103,0.545758577777777,0.53616711111111,0.546919111111113,0.549513244444445,0.550468977777781
"10",25,3,87,1396,0.6125,0.05,0.33125,0.544324977777774,0.547977244444442,0.546441244444452,0.548659911111103,0.534119111111106,0.548728177777777,0.54070684444444,0.551288177777769,0.543676444444446,0.553165511111113
"11",25,3,83,1104,0.3125,0.81875,0.51875,0.568662044444439,0.556271644444446,0.553677511111114,0.542823111111111,0.54708977777778,0.554291911111109,0.547499377777774,0.533265777777778,0.551390577777769,0.548386844444443
"12",25,3,79,812,0.06875,0.33125,0.63125,0.553472711111107,0.542891377777778,0.547908977777782,0.551083377777775,0.553233777777766,0.543062044444445,0.546884977777773,0.544734577777782,0.54855751111111,0.546236444444445
"13",25,3,76,521,0.2375,0.51875,0.21875,0.552824177777779,0.547362844444454,0.544359111111108,0.550332444444447,0.553916444444448,0.548420977777776,0.544495644444448,0.546714311111106,0.545587911111117,0.53732764444444
"14",25,3,78,667,0.5375,0.63125,0.93125,0.541252977777781,0.546031644444445,0.543915377777773,0.547670044444441,0.561084444444436,0.550912711111108,0.550571377777781,0.55470151111111,0.539990044444445,0.549240177777771
"15",25,3,94,938,0.875,0.14375,0.65,0.54695324444444,0.54708977777778,0.552687644444438,0.54220871111111,0.546270577777772,0.548625777777777,0.547431111111101,0.557602844444449,0.542481777777784,0.549069511111118
"16",25,3,98,1229,0.575,0.70625,0.2375,0.548250311111116,0.549240177777771,0.535245511111109,0.554564977777776,0.535382044444442,0.548386844444443,0.540672711111106,0.551049244444442,0.544324977777774,0.548523377777763
"17",25,3,100,1375,0.33125,0.425,0.875,0.548011377777775,0.539887644444445,0.539273244444444,0.542276977777777,0.552243911111104,0.542891377777778,0.539478044444444,0.550639644444448,0.544939377777769,0.552175644444444
"18",25,3,96,1083,0.10625,0.4625,0.14375,0.541628444444449,0.543812977777773,0.546304711111112,0.54534897777779,0.54534897777779,0.554018844444427,0.537361777777787,0.547396977777774,0.551356444444449,0.549103644444437
"19",25,3,92,792,0.275,0.65,0.70625,0.544666311111115,0.546031644444445,0.544871111111109,0.553848177777781,0.544871111111109,0.547806577777775,0.544154311111107,0.557022577777781,0.541662577777782,0.547158044444447
"20",25,3,89,500,0.55625,0.2375,0.425,0.550434844444447,0.55026417777778,0.547806577777775,0.550844444444434,0.549240177777771,0.548250311111116,0.542686577777771,0.545587911111117,0.545417244444436,0.543983644444447
