,R.test,R.test,R.test,rmse.test,rmse.test,rmse.test,R.fit,R.fit,R.fit,rmse.fit,rmse.fit,rmse.fit
soa_32,0.905,0.888,0.892,1.871,1.956,1.858,0.982,1,1,0.615,0,0.071
ccd3_43,0.945,0.958,0.93,1.322,1.171,1.485,0.982,1,1,0.882,0,0.109
oacd3_50,0.936,0.964,0.965,1.42,1.106,1.088,0.977,1,1,1.024,0.018,0.025
full_243,0.954,1,0.999,1.201,0,0.22,0.954,1,0.999,1.201,0,0.22
lhd_50,0.832,0.847,0.833,2.347,2.187,2.262,0.967,1,0.999,0.64,0,0.118
lhd2_50,0.864,0.884,0.884,2.249,2.547,2.269,0.963,1,1,0.65,0,0.06
maximin_50,0.874,0.836,0.813,2.034,2.734,2.584,0.96,1,1,0.666,0,0.082
maxpro_50,0.854,0.806,0.817,2.21,2.793,2.618,0.951,1,0.999,0.824,0,0.124
ud_50,0.859,0.848,0.846,2.158,2.426,2.258,0.959,1,1,0.667,0,0.061
lhd_100,0.879,0.886,0.883,2.074,2.15,2.11,0.968,1,0.996,0.573,0,0.212
lhd2_100,0.875,0.894,0.886,2.01,2.051,1.992,0.965,1,0.999,0.627,0,0.102
lhd_243,0.882,0.889,0.901,2.013,2.216,2.083,0.936,1,0.995,0.805,0,0.234
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soa_32,0.836,0.849,0.86,1.436,1.426,1.381,0.982,1,1,0.615,0,0.071
ccd3_43,0.829,0.825,0.797,1.418,1.814,1.882,0.982,1,1,0.882,0,0.109
oacd3_50,0.827,0.838,0.865,1.591,1.983,1.663,0.977,1,1,1.024,0.018,0.025
full_243,0.865,0.862,0.878,1.345,1.81,1.481,0.954,1,0.999,1.201,0,0.22
lhd_50,0.891,0.92,0.931,1.179,0.969,0.925,0.967,1,0.999,0.64,0,0.118
lhd2_50,0.902,0.914,0.931,1.098,0.94,0.874,0.963,1,1,0.65,0,0.06
maximin_50,0.923,0.924,0.932,0.897,0.894,0.853,0.96,1,1,0.666,0,0.082
maxpro_50,0.905,0.918,0.923,1.062,0.938,0.93,0.951,1,0.999,0.824,0,0.124
ud_50,0.925,0.954,0.954,0.876,0.694,0.692,0.959,1,1,0.667,0,0.061
lhd_100,0.931,0.962,0.956,0.854,0.628,0.687,0.968,1,0.996,0.573,0,0.212
lhd2_100,0.915,0.968,0.969,0.925,0.572,0.565,0.965,1,0.999,0.627,0,0.102
lhd_243,0.936,1,0.995,0.805,0,0.234,0.936,1,0.995,0.805,0,0.234
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soa_32,0.885,0.874,0.887,1.668,1.711,1.637,0.982,1,1,0.615,0,0.071
ccd3_43,0.922,0.916,0.889,1.371,1.527,1.695,0.982,1,1,0.882,0,0.109
oacd3_50,0.913,0.916,0.931,1.508,1.606,1.406,0.977,1,1,1.024,0.018,0.025
full_243,0.936,0.945,0.959,1.275,1.28,1.058,0.954,1,0.999,1.201,0,0.22
lhd_50,0.865,0.881,0.878,1.857,1.691,1.728,0.967,1,0.999,0.64,0,0.118
lhd2_50,0.878,0.877,0.89,1.77,1.92,1.719,0.963,1,1,0.65,0,0.06
maximin_50,0.897,0.85,0.85,1.572,2.034,1.924,0.96,1,1,0.666,0,0.082
maxpro_50,0.877,0.832,0.846,1.734,2.083,1.965,0.951,1,0.999,0.824,0,0.124
ud_50,0.887,0.882,0.885,1.647,1.785,1.67,0.959,1,1,0.667,0,0.061
lhd_100,0.905,0.913,0.91,1.586,1.584,1.569,0.968,1,0.996,0.573,0,0.212
lhd2_100,0.899,0.919,0.915,1.565,1.506,1.464,0.965,1,0.999,0.627,0,0.102
lhd_243,0.906,0.918,0.926,1.533,1.567,1.482,0.936,1,0.995,0.805,0,0.234
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soa_32,0.904,0.9,0.903,1.596,1.591,1.56,0.982,1,1,0.615,0,0.071
ccd3_43,0.931,0.933,0.916,1.318,1.404,1.502,0.982,1,1,0.882,0,0.109
oacd3_50,0.921,0.936,0.943,1.446,1.437,1.305,0.977,1,1,1.024,0.018,0.025
full_243,0.945,0.971,0.976,1.186,0.958,0.828,0.954,1,0.999,1.201,0,0.22
lhd_50,0.868,0.874,0.869,1.871,1.767,1.818,0.967,1,0.999,0.64,0,0.118
lhd2_50,0.881,0.898,0.905,1.831,1.952,1.747,0.963,1,1,0.65,0,0.06
maximin_50,0.899,0.869,0.857,1.615,2.08,1.983,0.96,1,1,0.666,0,0.082
maxpro_50,0.884,0.854,0.861,1.753,2.108,1.986,0.951,1,0.999,0.824,0,0.124
ud_50,0.891,0.895,0.893,1.689,1.797,1.688,0.959,1,1,0.667,0,0.061
lhd_100,0.903,0.919,0.914,1.666,1.629,1.615,0.968,1,0.996,0.573,0,0.212
lhd2_100,0.899,0.93,0.923,1.616,1.498,1.472,0.965,1,0.999,0.627,0,0.102
lhd_243,0.906,0.926,0.931,1.601,1.578,1.524,0.936,1,0.995,0.805,0,0.234
