"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",50,5,77,1256,0.678512396694215,0.0723140495867769,0.927685950413223,0.170881791111112,0.171967871111109,0.170707711111107,0.166076031111108,0.168571391111108,0.168641791111111,0.171322751111105,0.170567551111105,0.169069951111107,0.168724351111101
"2",50,5,78,752,0.395867768595041,0.574380165289256,0.113223140495868,0.201698431111098,0.198093311111106,0.199145471111113,0.194966271111104,0.191862911111104,0.193542911111101,0.195699071111097,0.192432511111111,0.193751551111107,0.202618111111108
"3",50,5,44,587,0.139256198347107,0.56694214876033,0.377272727272727,0.186682111111107,0.1893790711111,0.189477631111101,0.18738803111111,0.188026751111105,0.192355711111099,0.1897784311111,0.189916031111105,0.186176511111108,0.191779071111106
"4",50,5,45,1467,0.0760330578512397,0.537190082644628,0.723140495867769,0.180850431111101,0.176806911111105,0.175555071111097,0.178097151111112,0.176643711111098,0.177052031111111,0.179393151111117,0.175271551111106,0.177818751111107,0.179039871111113
"5",50,5,78,1149,0.860743801652893,0.462809917355372,0.273140495867769,0.20891251111111,0.20759795111111,0.208775551111103,0.204313471111106,0.212403071111096,0.205578111111111,0.208919551111103,0.208335871111111,0.200918271111093,0.203500671111106
"6",50,5,17,1066,0.548347107438017,0.180165289256198,0.756611570247934,0.185615871111114,0.184536191111105,0.189532031111106,0.187770111111103,0.185630591111111,0.187258751111107,0.181547391111106,0.188447871111108,0.184108031111109,0.186628991111097
"7",50,5,36,1194,0.641322314049587,0.689669421487603,0.284297520661157,0.203592831111106,0.203728511111112,0.201564031111108,0.202989951111114,0.199878271111099,0.204193791111106,0.207261951111107,0.204109951111114,0.202157311111111,0.207235711111101
"8",50,5,74,756,0.0648760330578512,0.328925619834711,0.555785123966942,0.190070911111111,0.186673151111108,0.188047871111104,0.188735871111116,0.186513791111113,0.18637747111111,0.188368511111113,0.187176831111108,0.188477311111108,0.189263871111109
"9",50,5,44,1380,0.302892561983471,0.221074380165289,0.83099173553719,0.174092031111107,0.175111551111107,0.172579071111102,0.176788351111103,0.17458803111111,0.175007231111114,0.172229631111104,0.175496831111108,0.172089471111102,0.169878271111097
"10",50,5,20,599,0.0834710743801653,0.853305785123967,0.73801652892562,0.197845631111103,0.20075955111111,0.204020351111098,0.198260351111097,0.201697791111115,0.2061835511111,0.200545151111106,0.200270591111114,0.204312191111104,0.205216511111113
"11",50,5,92,942,0.14297520661157,0.931404958677686,0.741735537190083,0.171452031111102,0.169343231111112,0.168282751111103,0.171498111111112,0.171329151111108,0.1717304311111,0.171007871111108,0.1700581111111,0.172650751111107,0.171116031111106
"12",50,5,32,1421,0.109504132231405,0.150413223140496,0.838429752066116,0.186406911111096,0.184486271111103,0.183076351111103,0.181852671111107,0.184625791111115,0.186888191111102,0.184448511111115,0.184517631111103,0.187138431111095,0.184847231111111
"13",50,5,33,702,0.689669421487603,0.403305785123967,0.228512396694215,0.211080831111106,0.217734911111107,0.2167557111111,0.213812351111099,0.213516031111104,0.218143871111111,0.212294271111101,0.219165951111107,0.209885951111113,0.220884351111103
"14",50,5,80,1405,0.894214876033058,0.336363636363636,0.689669421487603,0.1858449911111,0.183038591111108,0.18423795111111,0.188091391111103,0.187306751111109,0.187676031111104,0.186184831111109,0.187399551111099,0.185127551111101,0.183265151111119
"15",50,5,29,640,0.630165289256198,0.113223140495868,0.700826446280992,0.188764671111105,0.191957631111107,0.190478591111112,0.18924979111111,0.192664191111101,0.196093311111104,0.192970751111105,0.186526591111111,0.192602751111111,0.192301951111105
"16",50,5,31,1025,0.336363636363636,0.447933884297521,0.150413223140496,0.187215231111114,0.187561471111104,0.187144831111104,0.184281471111103,0.188980991111094,0.1912875511111,0.185110911111105,0.188131071111097,0.192072831111105,0.190323071111102
"17",50,5,62,612,0.697107438016529,0.563223140495868,0.797520661157025,0.19424051111111,0.195478271111098,0.193028351111103,0.201089791111116,0.192240511111115,0.196296191111098,0.19478579111111,0.197244671111103,0.192537471111108,0.192577151111109
"18",50,5,72,1285,0.485123966942149,0.600413223140496,0.890495867768595,0.170006911111104,0.173169791111115,0.169672191111109,0.171374591111113,0.170222591111109,0.172766591111109,0.171265151111114,0.171796991111098,0.171516031111103,0.170796671111105
"19",50,5,18,678,0.321487603305785,0.116942148760331,0.269421487603306,0.246497791111119,0.209797631111099,0.213888511111114,0.208019711111097,0.201730431111102,0.21431667111111,0.219457151111109,0.202398591111111,0.207996031111102,0.223831551111102
