"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",70,7,10,500,0.05,0.05,0.05,0.241793779117917,0.244064091657767,0.258934142968584,0.246172906862317,0.252440023454883,0.229682612285509,0.263417762322197,0.24642552269415,0.225334934022204,0.270327694974978
"2",70,7,100,500,0.05,0.05,0.05,0.250979577552234,0.247711551474673,0.250823860121582,0.246037135769206,0.234363995042685,0.249246229485828,0.253583027928644,0.245028599076727,0.252186330974145,0.249155167655009
"3",70,7,10,1500,0.05,0.05,0.05,0.190808843702685,0.225473255073237,0.184781593152317,0.230564671064873,0.227933057819818,0.219745029588953,0.182592085945857,0.211319118616486,0.185219505926766,0.193215493992965
"4",70,7,100,1500,0.05,0.05,0.05,0.215780695000473,0.216635440897173,0.23121219038081,0.224054798477768,0.220937219917824,0.231396807334621,0.210000847034635,0.23242036044599,0.218759215854882,0.220756059573619
"5",70,7,10,500,0.95,0.05,0.05,0.201692800784067,0.209595063730059,0.214004507640898,0.212844843442025,0.221032701675696,0.217795728419082,0.212712755621472,0.206526387696544,0.211956041440586,0.20505874524597
"6",70,7,100,500,0.95,0.05,0.05,0.198333939538605,0.201878664383981,0.207914414794102,0.210006060281948,0.20939605368038,0.20067582089757,0.208821123166746,0.205982000012272,0.205448605479951,0.210106585289953
"7",70,7,10,1500,0.95,0.05,0.05,0.179296576988425,0.17981580508783,0.17197604444387,0.177205498157883,0.176771721981862,0.183433572061336,0.17793223616672,0.178931139684806,0.17509815626237,0.176413934552019
"8",70,7,100,1500,0.95,0.05,0.05,0.174185214659228,0.171722635291791,0.174295996164673,0.174693562938161,0.176994644970299,0.175723689274401,0.17463978715879,0.17416322835534,0.172449939957939,0.178170005576843
"9",70,7,10,500,0.05,0.95,0.05,0.158845574429963,0.162592935931839,0.164116620791036,0.181010035383022,0.170592097279001,0.166695308242697,0.174339062120756,0.167988930231268,0.176286889981593,0.171872799480752
"10",70,7,100,500,0.05,0.95,0.05,0.134772271639456,0.132543891741058,0.14004751126467,0.139464760880049,0.133305705837798,0.1416080855152,0.137287663468835,0.141320846921297,0.137684380256332,0.141168529434542
"11",70,7,10,1500,0.05,0.95,0.05,0.144885008112636,0.136620084483875,0.139519896636985,0.145535190717971,0.142580186142195,0.145174626667275,0.140730219999979,0.140082814015504,0.13859499856447,0.137473187074355
"12",70,7,100,1500,0.05,0.95,0.05,0.113204330843813,0.113962178339335,0.111521415278593,0.113663266604707,0.112780641168032,0.11194363164535,0.113441703593835,0.112449599963538,0.114058170088804,0.112296715819464
"13",70,7,10,500,0.95,0.95,0.05,0.231375274356575,0.234578531502837,0.230611193630575,0.238040751042886,0.233028497078413,0.224270184923887,0.220315993501381,0.240057767762106,0.233259863260865,0.241280444254609
"14",70,7,100,500,0.95,0.95,0.05,0.230872819313763,0.233792917798792,0.239967045925681,0.232020923703367,0.23218814427756,0.242170549567874,0.217504126563857,0.25562089763714,0.240271510902012,0.230973344321764
"15",70,7,10,1500,0.95,0.95,0.05,0.215933352481629,0.204738980522104,0.225615202731094,0.217913876469647,0.208067525601107,0.217092393357446,0.209434699709399,0.206871368671029,0.215799224694734,0.205888218226341
"16",70,7,100,1500,0.95,0.95,0.05,0.227580086977177,0.205110764387662,0.213436547012249,0.208779473853959,0.213278846280984,0.212748171703782,0.220799578855554,0.222938086903508,0.22157946932071,0.212277732799353
"17",70,7,10,500,0.05,0.05,0.95,0.20844684600899,0.21019509716284,0.215006357777037,0.216653460599844,0.215899636371281,0.210767987710147,0.211939155052555,0.206089664902469,0.20509807126377,0.21441040427694
"18",70,7,100,500,0.05,0.05,0.95,0.150129704908478,0.152973077992828,0.147818536376097,0.148918701556703,0.147046125787535,0.146159533749635,0.144788223042924,0.145535020720764,0.147720051334434,0.145444412215808
"19",70,7,10,1500,0.05,0.05,0.95,0.175908646222609,0.178416501509671,0.1688087133715,0.167814229780489,0.168632142951583,0.174221310730319,0.169571320788483,0.17329414602853,0.174457380168497,0.175255063673382
"20",70,7,100,1500,0.05,0.05,0.95,0.121499910633413,0.125007689421731,0.123986516271095,0.124457295169907,0.12754393424037,0.123919480710513,0.123343473547956,0.126898341559302,0.123160046574505,0.127089588403736
"21",70,7,10,500,0.95,0.05,0.95,0.166093631503692,0.157002238178345,0.160545829709088,0.164002666004616,0.160418161815605,0.160644711410873,0.151971737848266,0.16319988258388,0.1613435698797,0.159210331744798
"22",70,7,100,500,0.95,0.05,0.95,0.136926702758014,0.139164885827995,0.14032624999882,0.140345913007704,0.14183049851205,0.140979605885109,0.140492903915691,0.143079637901253,0.141842114987044,0.142606989033289
"23",70,7,10,1500,0.95,0.05,0.95,0.132773217957179,0.13134626150196,0.131597460690507,0.133819380695496,0.133043910157428,0.133478139659304,0.134020260714299,0.133426120517626,0.13237984444785,0.132344598362737
"24",70,7,100,1500,0.95,0.05,0.95,0.116446517347747,0.119509300145159,0.116576225207558,0.119272324055265,0.118130112901745,0.119121309880326,0.11752480955593,0.117986918597785,0.115817357728872,0.118256250820476
"25",70,7,10,500,0.05,0.95,0.95,0.166650655646135,0.168237296133224,0.160772719298742,0.162012735505142,0.161541729943392,0.160020708373586,0.162877851230734,0.156005714620988,0.163631222133444,0.165599619654892
"26",70,7,100,500,0.05,0.95,0.95,0.12099122236011,0.119569649149397,0.121100813885184,0.118386921997733,0.119994415474087,0.120440941439738,0.121737170051969,0.118972845663326,0.12147446771989,0.122583019428787
"27",70,7,10,1500,0.05,0.95,0.95,0.139868560884028,0.140058164422231,0.13899692859929,0.136255383834778,0.138374285539564,0.14003702810431,0.134710789320581,0.136749282352112,0.137483500237522,0.138324759690073
"28",70,7,100,1500,0.05,0.95,0.95,0.107258678947075,0.104681691467361,0.10796654726725,0.108230382913965,0.107628252849108,0.106490971614245,0.108594460240009,0.106860545516275,0.10777745372062,0.106764383769605
"29",70,7,10,500,0.95,0.95,0.95,0.193944441965316,0.200220115083378,0.198590068645806,0.196933445980086,0.199187042129075,0.198445797692945,0.195511079449134,0.193855873426695,0.204565753380348,0.199089463739126
"30",70,7,100,500,0.95,0.95,0.95,0.172386417672716,0.174504639388735,0.178468690648546,0.179105783469854,0.177506449858852,0.178607295028242,0.178595451890324,0.179231014736866,0.177739912673388,0.173400280943974
"31",70,7,10,1500,0.95,0.95,0.95,0.188924254798408,0.191750344834589,0.183879078043816,0.18897740725473,0.1856905114885,0.189232403047298,0.190410540274688,0.184475994861356,0.187720164665887,0.187564787229616
"32",70,7,100,1500,0.95,0.95,0.95,0.162783162793084,0.166441559096227,0.166228892605216,0.164887841399224,0.167308148130828,0.166822352813126,0.168274072193088,0.16526047525077,0.165545843875528,0.167095651637028
"33",70,7,55,1000,0.5,0.5,0.5,0.128168050609116,0.126387329990998,0.12820420334592,0.128282855381495,0.127287975130355,0.128713798270931,0.127927447912384,0.130815416927565,0.128329434612939,0.130264002692563
"34",70,7,32,1000,0.5,0.5,0.5,0.134185044662043,0.132691449306357,0.135401487924056,0.13452996897079,0.135190974730855,0.13544058727892,0.132628040352613,0.131392160744627,0.135247697128273,0.132195340825488
"35",70,7,78,1000,0.5,0.5,0.5,0.127380736933122,0.12507211835866,0.126122587692585,0.125442768909592,0.126087908264787,0.124715860903575,0.126575460220185,0.126328907621636,0.126472555251448,0.126122927686972
"36",70,7,55,750,0.5,0.5,0.5,0.135530969120955,0.13540301789881,0.133977818081277,0.133641620295211,0.135151365384403,0.132464389719516,0.13316205820799,0.134146908624618,0.133271593067322,0.133979064727372
"37",70,7,55,1250,0.5,0.5,0.5,0.124489651302694,0.127117354612259,0.126432889239272,0.123187416122918,0.123694404424262,0.124062448351541,0.122509693971998,0.124546997023151,0.126537607511419,0.124413945885166
"38",70,7,55,1000,0.275,0.5,0.5,0.117783431955312,0.11821941809487,0.120182205708884,0.118300733419837,0.11891260999055,0.117876137092351,0.118710029999781,0.117926172933429,0.11733701932113,0.118167455618923
"39",70,7,55,1000,0.725,0.5,0.5,0.14361660237467,0.138646961040424,0.146845699094577,0.146398153145738,0.147053265669723,0.145260531916491,0.140634454913437,0.141949439882855,0.148492121928592,0.144106534290787
"40",70,7,55,1000,0.5,0.275,0.5,0.125708134531048,0.123597676020291,0.126697461540495,0.122599452490976,0.1280768187811,0.123352143404917,0.12436612000763,0.123314404027602,0.124446925341005,0.124294154528391
"41",70,7,55,1000,0.5,0.725,0.5,0.13593182250687,0.134278713116508,0.135774575101454,0.135292519722031,0.133976798098113,0.131534278399677,0.135622937603476,0.134652536948412,0.13498267150119,0.133271536401591
"42",70,7,55,1000,0.5,0.5,0.275,0.135301869567762,0.137077263607101,0.133964048308476,0.134791821316895,0.13520508449805,0.134419924119864,0.135505922867547,0.133197134295895,0.135767718547928,0.135892893149213
"43",70,7,55,1000,0.5,0.5,0.725,0.123549850142752,0.124688434689435,0.124299254444245,0.125470365120919,0.124017059100472,0.125036305616232,0.124361700080556,0.124031395530584,0.123550700128726,0.123598582671983
