"","R.test","R.test","R.test","rmse.test","rmse.test","rmse.test","R.fit","R.fit","R.fit","rmse.fit","rmse.fit","rmse.fit"
"ccd5_43",0.935,0.879,0.896,1.255,1.701,1.576,0.982,1,1,0.771,0,0.017
"oacd5_50",0.927,0.821,0.848,1.342,2.082,1.9,0.972,1,1,0.929,0,0.016
"ccd3_43",0.934,0.962,0.945,1.255,1.008,1.181,0.975,1,1,0.897,0,0.06
"soa_32",0.903,0.895,0.892,1.696,1.585,1.621,0.975,1,0.999,0.668,0,0.118
"oacd1_34",0.924,0.929,0.938,1.357,1.359,1.283,0.994,1,1,0.447,0.001,0.013
"oacd2_50",0.923,0.923,0.93,1.362,1.383,1.319,0.996,0.999,0.999,0.373,0.142,0.142
"oacd3_50",0.938,0.968,0.971,1.215,0.91,0.855,0.977,1,1,0.874,0.083,0.083
"full_243",0.958,1,0.999,1.01,0,0.168,0.958,1,0.999,1.01,0,0.168
"wplhd_49",0.89,0.902,0.901,1.793,1.971,1.876,0.972,1,1,0.531,0,0.053
"lhd_50",0.834,0.836,0.825,2.149,2.283,2.184,0.973,1,1,0.556,0,0.044
"lhd2_50",0.876,0.926,0.933,1.774,1.579,1.349,0.98,1,1,0.494,0,0.044
"lhd_100",0.88,0.881,0.85,1.712,1.891,1.978,0.968,1,0.999,0.6,0,0.127
"lhd2_100",0.882,0.893,0.885,1.677,1.735,1.75,0.978,1,0.999,0.47,0,0.128
"lhd_243",0.866,0.909,0.864,1.844,1.497,1.889,0.97,1,0.982,0.542,0,0.442
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ccd5_43",0.814,0.82,0.849,1.348,1.463,1.261,0.982,1,1,0.771,0,0.017
"oacd5_50",0.826,0.773,0.847,1.274,1.537,1.19,0.972,1,1,0.929,0,0.016
"ccd3_43",0.81,0.835,0.827,1.462,1.816,1.839,0.975,1,1,0.897,0,0.06
"soa_32",0.844,0.879,0.895,1.366,1.234,1.197,0.975,1,0.999,0.668,0,0.118
"oacd1_34",0.825,0.837,0.88,1.501,1.846,1.56,0.994,1,1,0.447,0.001,0.013
"oacd2_50",0.816,0.819,0.85,1.469,1.812,1.493,0.996,0.999,0.999,0.373,0.142,0.142
"oacd3_50",0.833,0.883,0.92,1.387,1.544,1.181,0.977,1,1,0.874,0.083,0.083
"full_243",0.885,0.889,0.896,1.179,1.447,1.228,0.958,1,0.999,1.01,0,0.168
"wplhd_49",0.963,0.96,0.961,0.604,0.631,0.625,0.972,1,1,0.531,0,0.053
"lhd_50",0.945,0.952,0.948,0.75,0.686,0.716,0.973,1,1,0.556,0,0.044
"lhd2_50",0.925,0.951,0.944,0.919,0.694,0.75,0.98,1,1,0.494,0,0.044
"lhd_100",0.95,0.969,0.96,0.705,0.561,0.627,0.968,1,0.999,0.6,0,0.127
"lhd2_100",0.95,0.977,0.976,0.699,0.498,0.506,0.978,1,0.999,0.47,0,0.128
"lhd_243",0.97,1,0.982,0.542,0,0.442,0.97,1,0.982,0.542,0,0.442
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ccd5_43",0.912,0.836,0.853,1.331,1.838,1.726,0.982,1,1,0.771,0,0.017
"oacd5_50",0.903,0.745,0.794,1.405,2.291,2.018,0.972,1,1,0.929,0,0.016
"ccd3_43",0.919,0.937,0.926,1.281,1.256,1.327,0.975,1,1,0.897,0,0.06
"soa_32",0.899,0.909,0.903,1.512,1.347,1.425,0.975,1,0.999,0.668,0,0.118
"oacd1_34",0.907,0.906,0.922,1.387,1.506,1.38,0.994,1,1,0.447,0.001,0.013
"oacd2_50",0.904,0.9,0.912,1.393,1.519,1.387,0.996,0.999,0.999,0.373,0.142,0.142
"oacd3_50",0.918,0.939,0.95,1.289,1.211,1.061,0.977,1,1,0.874,0.083,0.083
"full_243",0.948,0.973,0.976,1.036,0.79,0.722,0.958,1,0.999,1.01,0,0.168
"wplhd_49",0.902,0.915,0.911,1.525,1.609,1.562,0.972,1,1,0.531,0,0.053
"lhd_50",0.855,0.866,0.859,1.814,1.853,1.791,0.973,1,1,0.556,0,0.044
"lhd2_50",0.889,0.937,0.94,1.52,1.275,1.153,0.98,1,1,0.494,0,0.044
"lhd_100",0.896,0.91,0.889,1.463,1.506,1.578,0.968,1,0.999,0.6,0,0.127
"lhd2_100",0.897,0.918,0.913,1.453,1.426,1.427,0.978,1,0.999,0.47,0,0.128
"lhd_243",0.885,0.923,0.889,1.568,1.269,1.579,0.97,1,0.982,0.542,0,0.442
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ccd5_43",0.807,0.813,0.846,1.337,1.485,1.259,0.982,1,1,0.771,0,0.017
"oacd5_50",0.818,0.772,0.84,1.266,1.539,1.19,0.972,1,1,0.929,0,0.016
"ccd3_43",0.803,0.83,0.823,1.452,1.81,1.829,0.975,1,1,0.897,0,0.06
"soa_32",0.834,0.869,0.887,1.411,1.245,1.179,0.975,1,0.999,0.668,0,0.118
"oacd1_34",0.813,0.824,0.867,1.514,1.909,1.594,0.994,1,1,0.447,0.001,0.013
"oacd2_50",0.805,0.804,0.837,1.473,1.864,1.531,0.996,0.999,0.999,0.373,0.142,0.142
"oacd3_50",0.823,0.872,0.912,1.391,1.605,1.214,0.977,1,1,0.874,0.083,0.083
"full_243",0.877,0.891,0.897,1.183,1.436,1.207,0.958,1,0.999,1.01,0,0.168
"wplhd_49",0.947,0.953,0.953,0.701,0.66,0.662,0.972,1,1,0.531,0,0.053
"lhd_50",0.931,0.945,0.947,0.809,0.71,0.699,0.973,1,1,0.556,0,0.044
