"","R.test","R.test","R.test","rmse.test","rmse.test","rmse.test","R.fit","R.fit","R.fit","rmse.fit","rmse.fit","rmse.fit"
"soa_32",0.903,0.895,0.892,1.696,1.585,1.621,0.975,1,0.999,0.668,0,0.118
"ccd3_43",0.934,0.962,0.945,1.255,1.008,1.181,0.975,1,1,0.897,0,0.06
"oacd3_50",0.938,0.968,0.971,1.215,0.91,0.855,0.977,1,1,0.874,0.083,0.083
"full_243",0.958,1,0.999,1.01,0,0.168,0.958,1,0.999,1.01,0,0.168
"lhd_50",0.834,0.836,0.825,2.149,2.283,2.184,0.973,1,1,0.556,0,0.044
"lhd2_50",0.876,0.926,0.933,1.774,1.579,1.349,0.98,1,1,0.494,0,0.044
"maximin_50",0.874,0.866,0.815,1.775,2.089,2.142,0.952,1,1,0.751,0,0.045
"maxpro_50",0.878,0.876,0.874,1.799,2.012,1.889,0.961,1,0.999,0.646,0,0.094
"ud_50",0.886,0.888,0.884,1.672,1.848,1.74,0.953,1,0.999,0.703,0,0.093
"lhd_100",0.88,0.881,0.85,1.712,1.891,1.978,0.968,1,0.999,0.6,0,0.127
"lhd2_100",0.882,0.893,0.885,1.677,1.735,1.75,0.978,1,0.999,0.47,0,0.128
"lhd_243",0.866,0.909,0.864,1.844,1.497,1.889,0.97,1,0.982,0.542,0,0.442
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.844,0.879,0.895,1.366,1.234,1.197,0.975,1,0.999,0.668,0,0.118
"ccd3_43",0.81,0.835,0.827,1.462,1.816,1.839,0.975,1,1,0.897,0,0.06
"oacd3_50",0.833,0.883,0.92,1.387,1.544,1.181,0.977,1,1,0.874,0.083,0.083
"full_243",0.885,0.889,0.896,1.179,1.447,1.228,0.958,1,0.999,1.01,0,0.168
"lhd_50",0.945,0.952,0.948,0.75,0.686,0.716,0.973,1,1,0.556,0,0.044
"lhd2_50",0.925,0.951,0.944,0.919,0.694,0.75,0.98,1,1,0.494,0,0.044
"maximin_50",0.939,0.936,0.93,0.817,0.798,0.863,0.952,1,1,0.751,0,0.045
"maxpro_50",0.94,0.949,0.951,0.799,0.71,0.702,0.961,1,0.999,0.646,0,0.094
"ud_50",0.953,0.953,0.956,0.7,0.691,0.662,0.953,1,0.999,0.703,0,0.093
"lhd_100",0.95,0.969,0.96,0.705,0.561,0.627,0.968,1,0.999,0.6,0,0.127
"lhd2_100",0.95,0.977,0.976,0.699,0.498,0.506,0.978,1,0.999,0.47,0,0.128
"lhd_243",0.97,1,0.982,0.542,0,0.442,0.97,1,0.982,0.542,0,0.442
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.883,0.891,0.898,1.54,1.42,1.425,0.975,1,0.999,0.668,0,0.118
"ccd3_43",0.905,0.913,0.898,1.363,1.469,1.545,0.975,1,1,0.897,0,0.06
"oacd3_50",0.914,0.934,0.952,1.304,1.267,1.031,0.977,1,1,0.874,0.083,0.083
"full_243",0.94,0.954,0.963,1.098,1.023,0.877,0.958,1,0.999,1.01,0,0.168
"lhd_50",0.871,0.869,0.868,1.609,1.686,1.625,0.973,1,1,0.556,0,0.044
"lhd2_50",0.899,0.933,0.94,1.413,1.22,1.091,0.98,1,1,0.494,0,0.044
"maximin_50",0.901,0.881,0.858,1.382,1.581,1.633,0.952,1,1,0.751,0,0.045
"maxpro_50",0.9,0.893,0.897,1.392,1.509,1.425,0.961,1,0.999,0.646,0,0.094
"ud_50",0.913,0.905,0.91,1.282,1.395,1.316,0.953,1,0.999,0.703,0,0.093
"lhd_100",0.909,0.91,0.889,1.309,1.395,1.467,0.968,1,0.999,0.6,0,0.127
"lhd2_100",0.912,0.924,0.919,1.285,1.276,1.288,0.978,1,0.999,0.47,0,0.128
"lhd_243",0.904,0.942,0.906,1.359,1.058,1.372,0.97,1,0.982,0.542,0,0.442
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.899,0.909,0.903,1.512,1.347,1.425,0.975,1,0.999,0.668,0,0.118
"ccd3_43",0.919,0.937,0.926,1.281,1.256,1.327,0.975,1,1,0.897,0,0.06
"oacd3_50",0.918,0.939,0.95,1.289,1.211,1.061,0.977,1,1,0.874,0.083,0.083
"full_243",0.948,0.973,0.976,1.036,0.79,0.722,0.958,1,0.999,1.01,0,0.168
"lhd_50",0.855,0.866,0.859,1.814,1.853,1.791,0.973,1,1,0.556,0,0.044
"lhd2_50",0.889,0.937,0.94,1.52,1.275,1.153,0.98,1,1,0.494,0,0.044
"maximin_50",0.893,0.891,0.856,1.491,1.666,1.745,0.952,1,1,0.751,0,0.045
"maxpro_50",0.898,0.905,0.903,1.494,1.581,1.51,0.961,1,0.999,0.646,0,0.094
"ud_50",0.905,0.915,0.914,1.4,1.46,1.375,0.953,1,0.999,0.703,0,0.093
"lhd_100",0.896,0.91,0.889,1.463,1.506,1.578,0.968,1,0.999,0.6,0,0.127
"lhd2_100",0.897,0.918,0.913,1.453,1.426,1.427,0.978,1,0.999,0.47,0,0.128
"lhd_243",0.885,0.923,0.889,1.568,1.269,1.579,0.97,1,0.982,0.542,0,0.442
