"phip" "maxpro" "cd2" "upd" "cor1" "design" "iteration"
"maximin" 0.0229221529480111 83.5984185567842 1.2616031625488 0.0211366892012319 0.0335426294287054 "maximin" 1
"MaxPro" 0.0278175220687524 31.9428597196285 1.18308035883417 0.0182381143721499 0.0510138302859822 "MaxPro" 1
"ud" 0.0260970805969017 35.4280591294434 0.707542902334302 0.00881926933167486 0.00663636059205679 "ud" 1
"UniPro" 0.031340269651785 45.3193011557607 0.896411147044973 0.00845356847368438 0.0058778715424285 "UniPro" 1
"randomLHD" 0.0401082248876265 130.646091085298 2.06255940308198 0.0362547987680522 0.0971778514500033 "randomLHD" 1
"maximin1" 0.022900688340622 72.4886501196066 1.25406056530066 0.021386331709581 0.0336322081575246 "maximin" 2
"MaxPro1" 0.0287163482475745 32.8080864749689 1.20787030767282 0.0184822506374676 0.0559423347398031 "MaxPro" 2
"ud1" 0.0272691600397873 34.0871354192386 0.713906827016908 0.00889495074560022 0.00651413167235952 "ud" 2
"UniPro1" 0.0325380065701115 44.4882613261307 0.912372053721611 0.00840373762827536 0.00487576183778715 "UniPro" 2
"randomLHD1" 0.0429566963077681 148.967319159435 2.26817194160194 0.0392184632316436 0.097446587636461 "randomLHD" 2
"maximin2" 0.0231642719081159 73.5510046017347 1.25067126848775 0.0210359005398151 0.0217533989685888 "maximin" 3
"MaxPro2" 0.0279401748725659 31.8446268877717 1.18633600513178 0.0177147139291862 0.0519364074743822 "MaxPro" 3
"ud2" 0.0272084025606059 33.4233382144161 0.714910223402354 0.00881067209394515 0.00738229187596276 "ud" 3
"UniPro2" 0.0349269849000909 48.712475067218 0.890993950168273 0.00837989250062725 0.00644129663117005 "UniPro" 3
"randomLHD2" 0.0395513468176874 147.504809388347 2.30367144694474 0.0392164229135687 0.0975018418056393 "randomLHD" 3
"maximin3" 0.0237521160939176 100.412608842932 1.40884059559958 0.0245296945723211 0.0398792780121894 "maximin" 4
"MaxPro3" 0.0271061661536417 32.0609077129032 1.16178980735131 0.0166904851519958 0.034665293684281 "MaxPro" 4
"ud3" 0.0268732442294325 34.3657558090458 0.718467366174913 0.00879285418797539 0.00798925055254169 "ud" 4
"UniPro3" 0.0310177637247267 46.1526383118169 0.939197815333004 0.00835814654638611 0.00637348469626951 "UniPro" 4
"randomLHD3" 0.0344317542313582 102.420416217001 2.28239569680049 0.0407743082197876 0.0959337954591119 "randomLHD" 4
"maximin4" 0.0230123256547619 79.8904786992984 1.30016476661026 0.0224351227775484 0.0352262072198781 "maximin" 5
"MaxPro4" 0.0273168469318944 32.1390871475263 1.14256684321885 0.017541805691192 0.0432564798071127 "MaxPro" 5
"ud4" 0.0262328215624498 34.4871891138629 0.709378662420934 0.00878272017221897 0.00735466479137365 "ud" 5
"UniPro4" 0.0309346119840099 45.564617494601 0.975700452004569 0.00838901071700052 0.006232000535798 "UniPro" 5
"randomLHD4" 0.0368209163918257 94.7886546752049 1.94721431149696 0.0325074843149281 0.0817845422275802 "randomLHD" 5
"maximin5" 0.0233122190052065 140.549288844594 1.35723696700294 0.023503702315069 0.0338800147344451 "maximin" 6
"MaxPro5" 0.0266915476978172 32.0739922080317 1.17525849968441 0.0176836775522458 0.0458015203268368 "MaxPro" 6
"ud5" 0.0279975369613024 33.6492299551091 0.713356172219304 0.00884131174239619 0.00736973411024044 "ud" 6
"UniPro5" 0.0340651859651985 43.151828280654 0.917628097166956 0.00847351389082103 0.00353208090549863 "UniPro" 6
"randomLHD5" 0.0443456186608513 121.85930165567 2.07421530133991 0.0357751038566501 0.0921614426361262 "randomLHD" 6
"maximin6" 0.022974876380667 90.518940504518 1.27580817902349 0.0220283256409541 0.0297367892304601 "maximin" 7
"MaxPro6" 0.0285707525351698 32.1695681727002 1.21682392160458 0.0187117188468849 0.0561106088004822 "MaxPro" 7
"ud6" 0.0262411166873702 36.6345262527366 0.707282728621039 0.00863213118296319 0.00761670350277945 "ud" 7
"UniPro6" 0.0329083708269381 43.740656022069 0.922521341817828 0.00849545602949892 0.00577238631036099 "UniPro" 7
