iteration design nrow ncol nstep y 
9 UniPro 60 6 1 14.8735405197312
9 UniPro 60 6 2 14.8735405197312
9 UniPro 60 6 3 14.8735405197312
9 UniPro 60 6 4 14.2929369190091
9 UniPro 60 6 5 14.2929369190091
9 UniPro 60 6 6 13.5286728833579
9 UniPro 60 6 7 12.7985993327327
9 UniPro 60 6 8 12.7985993327327
9 UniPro 60 6 9 12.7985993327327
9 UniPro 60 6 10 12.7985993327327
9 UniPro 60 6 11 12.7985993327327
9 UniPro 60 6 12 12.5757459826468
9 UniPro 60 6 13 12.5757459826468
9 UniPro 60 6 14 12.5757459826468
9 UniPro 60 6 15 12.5757459826468
9 UniPro 60 6 16 11.7978058922794
9 UniPro 60 6 17 11.7978058922794
9 UniPro 60 6 18 9.53163298343647
9 UniPro 60 6 19 9.53163298343647
9 UniPro 60 6 20 9.53163298343647
9 UniPro 60 6 21 9.53163298343647
9 UniPro 60 6 22 9.53163298343647
9 UniPro 60 6 23 9.03771668082119
9 UniPro 60 6 24 9.03771668082119
9 UniPro 60 6 25 9.03771668082119
9 UniPro 60 6 26 9.03771668082119
9 UniPro 60 6 27 9.03771668082119
9 UniPro 60 6 28 9.03771668082119
9 UniPro 60 6 29 8.7892039621004
9 UniPro 60 6 30 8.7892039621004
10 UniPro 60 6 1 15.1678566511889
10 UniPro 60 6 2 15.1678566511889
10 UniPro 60 6 3 15.1678566511889
10 UniPro 60 6 4 12.8746552687356
10 UniPro 60 6 5 12.8746552687356
10 UniPro 60 6 6 12.8746552687356
10 UniPro 60 6 7 12.8746552687356
10 UniPro 60 6 8 12.8746552687356
10 UniPro 60 6 9 12.8746552687356
10 UniPro 60 6 10 12.8746552687356
10 UniPro 60 6 11 12.8746552687356
10 UniPro 60 6 12 12.8746552687356
10 UniPro 60 6 13 11.2102503277685
10 UniPro 60 6 14 10.504388030456
10 UniPro 60 6 15 10.504388030456
10 UniPro 60 6 16 10.504388030456
10 UniPro 60 6 17 10.504388030456
10 UniPro 60 6 18 10.504388030456
10 UniPro 60 6 19 10.0516469687173
10 UniPro 60 6 20 10.0516469687173
10 UniPro 60 6 21 5.62329473759752
10 UniPro 60 6 22 5.62329473759752
10 UniPro 60 6 23 5.62329473759752
10 UniPro 60 6 24 5.62329473759752
10 UniPro 60 6 25 5.62329473759752
10 UniPro 60 6 26 5.62329473759752
10 UniPro 60 6 27 5.62329473759752
10 UniPro 60 6 28 5.62329473759752
10 UniPro 60 6 29 5.50963172062382
10 UniPro 60 6 30 5.50963172062382
8 UniPro 60 6 1 15.8260112107167
8 UniPro 60 6 2 15.8260112107167
8 UniPro 60 6 3 15.4499761822481
8 UniPro 60 6 4 15.4499761822481
8 UniPro 60 6 5 14.5558796266795
8 UniPro 60 6 6 13.6892668796877
8 UniPro 60 6 7 13.1394184551669
8 UniPro 60 6 8 13.1394184551669
8 UniPro 60 6 9 13.1394184551669
8 UniPro 60 6 10 13.1394184551669
8 UniPro 60 6 11 13.1394184551669
8 UniPro 60 6 12 13.1394184551669
8 UniPro 60 6 13 13.1394184551669
8 UniPro 60 6 14 13.1394184551669
8 UniPro 60 6 15 13.1394184551669
8 UniPro 60 6 16 13.1394184551669
8 UniPro 60 6 17 13.1394184551669
8 UniPro 60 6 18 13.1394184551669
8 UniPro 60 6 19 13.1394184551669
8 UniPro 60 6 20 13.1394184551669
8 UniPro 60 6 21 13.1394184551669
8 UniPro 60 6 22 13.1394184551669
8 UniPro 60 6 23 13.1394184551669
8 UniPro 60 6 24 13.1394184551669
8 UniPro 60 6 25 13.1394184551669
8 UniPro 60 6 26 13.1394184551669
8 UniPro 60 6 27 13.1394184551669
8 UniPro 60 6 28 13.1394184551669
8 UniPro 60 6 29 13.1394184551669
8 UniPro 60 6 30 13.1394184551669
5 UniPro 60 6 1 13.9897120726825
5 UniPro 60 6 2 13.9897120726825
5 UniPro 60 6 3 13.9897120726825
5 UniPro 60 6 4 13.9897120726825
5 UniPro 60 6 5 13.9897120726825
5 UniPro 60 6 6 13.4846679103461
5 UniPro 60 6 7 13.4846679103461
5 UniPro 60 6 8 13.4846679103461
5 UniPro 60 6 9 12.4750431240782
5 UniPro 60 6 10 11.35215217737
5 UniPro 60 6 11 11.35215217737
5 UniPro 60 6 12 11.35215217737
