iteration design nrow ncol nstep y 
4 UniPro 10 2 1 0.925249837548415
4 UniPro 10 2 2 0.925249837548415
4 UniPro 10 2 3 0.925249837548415
4 UniPro 10 2 4 0.925249837548415
4 UniPro 10 2 5 0.925249837548415
4 UniPro 10 2 6 0.737464919264923
4 UniPro 10 2 7 0.737464919264923
4 UniPro 10 2 8 0.737464919264923
4 UniPro 10 2 9 0.737464919264923
4 UniPro 10 2 10 0.737464919264923
4 UniPro 10 2 11 0.737464919264923
4 UniPro 10 2 12 0.427465210140184
4 UniPro 10 2 13 0.427465210140184
4 UniPro 10 2 14 0.427465210140184
4 UniPro 10 2 15 0.397947331874676
4 UniPro 10 2 16 0.397947331874676
4 UniPro 10 2 17 0.397947331874676
4 UniPro 10 2 18 0.397947331874676
4 UniPro 10 2 19 0.397947331874676
4 UniPro 10 2 20 0.397947331874676
4 UniPro 10 2 21 0.397947331874676
4 UniPro 10 2 22 0.397947331874676
4 UniPro 10 2 23 0.397947331874676
4 UniPro 10 2 24 0.397947331874676
4 UniPro 10 2 25 0.397947331874676
4 UniPro 10 2 26 0.397947331874676
4 UniPro 10 2 27 0.397947331874676
4 UniPro 10 2 28 0.397947331874676
4 UniPro 10 2 29 0.397947331874676
4 UniPro 10 2 30 0.397947331874676
5 UniPro 10 2 1 0.925249837548415
5 UniPro 10 2 2 0.925249837548415
5 UniPro 10 2 3 0.925249837548415
5 UniPro 10 2 4 0.925249837548415
5 UniPro 10 2 5 0.925249837548415
5 UniPro 10 2 6 0.925249837548415
5 UniPro 10 2 7 0.925249837548415
5 UniPro 10 2 8 0.925249837548415
5 UniPro 10 2 9 0.450241229765856
5 UniPro 10 2 10 0.435645208351053
5 UniPro 10 2 11 0.435645208351053
5 UniPro 10 2 12 0.435645208351053
5 UniPro 10 2 13 0.435645208351053
5 UniPro 10 2 14 0.414862079343305
5 UniPro 10 2 15 0.414862079343305
5 UniPro 10 2 16 0.414862079343305
5 UniPro 10 2 17 0.414862079343305
5 UniPro 10 2 18 0.414862079343305
5 UniPro 10 2 19 0.39799877289083
5 UniPro 10 2 20 0.39799877289083
5 UniPro 10 2 21 0.39799877289083
5 UniPro 10 2 22 0.39799877289083
5 UniPro 10 2 23 0.39799877289083
5 UniPro 10 2 24 0.39799877289083
5 UniPro 10 2 25 0.39799877289083
5 UniPro 10 2 26 0.39799877289083
5 UniPro 10 2 27 0.39799877289083
5 UniPro 10 2 28 0.39799877289083
5 UniPro 10 2 29 0.39799877289083
5 UniPro 10 2 30 0.39799877289083
1 UniPro 10 2 1 2.05228944537241
1 UniPro 10 2 2 2.05228944537241
1 UniPro 10 2 3 2.05228944537241
1 UniPro 10 2 4 2.05228944537241
1 UniPro 10 2 5 2.05228944537241
1 UniPro 10 2 6 2.05228944537241
1 UniPro 10 2 7 0.994088245889557
1 UniPro 10 2 8 0.994088245889557
1 UniPro 10 2 9 0.472417796233366
1 UniPro 10 2 10 0.472417796233366
1 UniPro 10 2 11 0.472417796233366
1 UniPro 10 2 12 0.430165907765302
1 UniPro 10 2 13 0.430165907765302
1 UniPro 10 2 14 0.430165907765302
1 UniPro 10 2 15 0.430165907765302
1 UniPro 10 2 16 0.430165907765302
1 UniPro 10 2 17 0.402136808802705
1 UniPro 10 2 18 0.402136808802705
1 UniPro 10 2 19 0.402136808802705
1 UniPro 10 2 20 0.398664921040947
1 UniPro 10 2 21 0.398664921040947
1 UniPro 10 2 22 0.398664921040947
1 UniPro 10 2 23 0.398664921040947
1 UniPro 10 2 24 0.398664921040947
1 UniPro 10 2 25 0.398664921040947
1 UniPro 10 2 26 0.398664921040947
1 UniPro 10 2 27 0.398664921040947
1 UniPro 10 2 28 0.398664921040947
1 UniPro 10 2 29 0.398664921040947
1 UniPro 10 2 30 0.398664921040947
10 UniPro 10 2 1 0.925249837548415
10 UniPro 10 2 2 0.925249837548415
10 UniPro 10 2 3 0.925249837548415
10 UniPro 10 2 4 0.925249837548415
10 UniPro 10 2 5 0.925249837548415
10 UniPro 10 2 6 0.925249837548415
10 UniPro 10 2 7 0.925249837548415
10 UniPro 10 2 8 0.925249837548415
10 UniPro 10 2 9 0.533609810280822
10 UniPro 10 2 10 0.533609810280822
10 UniPro 10 2 11 0.533609810280822
10 UniPro 10 2 12 0.533609810280822
10 UniPro 10 2 13 0.533609810280822
10 UniPro 10 2 14 0.427339682695628
10 UniPro 10 2 15 0.407439041392273
10 UniPro 10 2 16 0.407439041392273
