iteration design nrow ncol nstep y 
3 UniPro 20 2 1 -0.777859492098787
3 UniPro 20 2 2 -0.777859492098787
3 UniPro 20 2 3 -0.777859492098787
3 UniPro 20 2 4 -0.777859492098787
3 UniPro 20 2 5 -0.777859492098787
3 UniPro 20 2 6 -0.905031067100347
3 UniPro 20 2 7 -0.905031067100347
3 UniPro 20 2 8 -0.905031067100347
3 UniPro 20 2 9 -0.905031067100347
3 UniPro 20 2 10 -0.958685806941867
3 UniPro 20 2 11 -0.958685806941867
3 UniPro 20 2 12 -0.958685806941867
3 UniPro 20 2 13 -1.01299446936486
3 UniPro 20 2 14 -1.01299446936486
3 UniPro 20 2 15 -1.01299446936486
3 UniPro 20 2 16 -1.0222057444089
3 UniPro 20 2 17 -1.0222057444089
3 UniPro 20 2 18 -1.0222057444089
3 UniPro 20 2 19 -1.0222057444089
3 UniPro 20 2 20 -1.0222057444089
3 UniPro 20 2 21 -1.0222057444089
3 UniPro 20 2 22 -1.0222057444089
3 UniPro 20 2 23 -1.0222057444089
3 UniPro 20 2 24 -1.0222057444089
3 UniPro 20 2 25 -1.0222057444089
3 UniPro 20 2 26 -1.0222057444089
3 UniPro 20 2 27 -1.0222057444089
3 UniPro 20 2 28 -1.0222057444089
3 UniPro 20 2 29 -1.0222057444089
3 UniPro 20 2 30 -1.0222057444089
8 UniPro 20 2 1 -0.210828852370732
8 UniPro 20 2 2 -0.671184215143721
8 UniPro 20 2 3 -0.671184215143721
8 UniPro 20 2 4 -0.671184215143721
8 UniPro 20 2 5 -0.86911125675064
8 UniPro 20 2 6 -0.86911125675064
8 UniPro 20 2 7 -0.86911125675064
8 UniPro 20 2 8 -0.86911125675064
8 UniPro 20 2 9 -0.86911125675064
8 UniPro 20 2 10 -0.985443399787811
8 UniPro 20 2 11 -0.985443399787811
8 UniPro 20 2 12 -0.985443399787811
8 UniPro 20 2 13 -1.00720182055498
8 UniPro 20 2 14 -1.00720182055498
8 UniPro 20 2 15 -1.02218112588356
8 UniPro 20 2 16 -1.02918939005765
8 UniPro 20 2 17 -1.02918939005765
8 UniPro 20 2 18 -1.02918939005765
8 UniPro 20 2 19 -1.02918939005765
8 UniPro 20 2 20 -1.02918939005765
8 UniPro 20 2 21 -1.02918939005765
8 UniPro 20 2 22 -1.02918939005765
8 UniPro 20 2 23 -1.02918939005765
8 UniPro 20 2 24 -1.02918939005765
8 UniPro 20 2 25 -1.02918939005765
8 UniPro 20 2 26 -1.02918939005765
8 UniPro 20 2 27 -1.02918939005765
8 UniPro 20 2 28 -1.02918939005765
8 UniPro 20 2 29 -1.02918939005765
8 UniPro 20 2 30 -1.02918939005765
1 UniPro 20 2 1 -0.419114546924947
1 UniPro 20 2 2 -0.419114546924947
1 UniPro 20 2 3 -0.820501957177302
1 UniPro 20 2 4 -0.820501957177302
1 UniPro 20 2 5 -0.820501957177302
1 UniPro 20 2 6 -0.820501957177302
1 UniPro 20 2 7 -0.820501957177302
1 UniPro 20 2 8 -0.820501957177302
1 UniPro 20 2 9 -0.820501957177302
1 UniPro 20 2 10 -0.820501957177302
1 UniPro 20 2 11 -0.921376929621295
1 UniPro 20 2 12 -1.02038381344693
1 UniPro 20 2 13 -1.02038381344693
1 UniPro 20 2 14 -1.02038381344693
1 UniPro 20 2 15 -1.02038381344693
1 UniPro 20 2 16 -1.02038381344693
1 UniPro 20 2 17 -1.03064607727389
1 UniPro 20 2 18 -1.03064607727389
1 UniPro 20 2 19 -1.03064607727389
1 UniPro 20 2 20 -1.03064607727389
1 UniPro 20 2 21 -1.03064607727389
1 UniPro 20 2 22 -1.03064607727389
1 UniPro 20 2 23 -1.03064607727389
1 UniPro 20 2 24 -1.03064607727389
1 UniPro 20 2 25 -1.03064607727389
1 UniPro 20 2 26 -1.03064607727389
1 UniPro 20 2 27 -1.03064607727389
1 UniPro 20 2 28 -1.03064607727389
1 UniPro 20 2 29 -1.03064607727389
1 UniPro 20 2 30 -1.03064607727389
6 UniPro 20 2 1 -1.01054647270821
6 UniPro 20 2 2 -1.01054647270821
6 UniPro 20 2 3 -1.01054647270821
6 UniPro 20 2 4 -1.01054647270821
6 UniPro 20 2 5 -1.01054647270821
6 UniPro 20 2 6 -1.01054647270821
6 UniPro 20 2 7 -1.01054647270821
6 UniPro 20 2 8 -1.01054647270821
6 UniPro 20 2 9 -1.01054647270821
6 UniPro 20 2 10 -1.01054647270821
6 UniPro 20 2 11 -1.01054647270821
6 UniPro 20 2 12 -1.01054647270821
6 UniPro 20 2 13 -1.01054647270821
6 UniPro 20 2 14 -1.01054647270821
6 UniPro 20 2 15 -1.01054647270821
6 UniPro 20 2 16 -1.01054647270821
6 UniPro 20 2 17 -1.01054647270821
6 UniPro 20 2 18 -1.01054647270821
6 UniPro 20 2 19 -1.02923901313709
6 UniPro 20 2 20 -1.02923901313709
6 UniPro 20 2 21 -1.02923901313709
6 UniPro 20 2 22 -1.02923901313709
6 UniPro 20 2 23 -1.02923901313709
6 UniPro 20 2 24 -1.03155794908325
6 UniPro 20 2 25 -1.03155794908325
6 UniPro 20 2 26 -1.03155794908325
6 UniPro 20 2 27 -1.03155794908325
6 UniPro 20 2 28 -1.03155794908325
6 UniPro 20 2 29 -1.03155794908325
6 UniPro 20 2 30 -1.03155794908325
7 UniPro 20 2 1 0.18366310325871
7 UniPro 20 2 2 0.18366310325871
7 UniPro 20 2 3 0.18366310325871
7 UniPro 20 2 4 0.18366310325871
7 UniPro 20 2 5 0.18366310325871
7 UniPro 20 2 6 0.18366310325871
7 UniPro 20 2 7 0.18366310325871
7 UniPro 20 2 8 -0.214488298092496
7 UniPro 20 2 9 -0.911958496373594
7 UniPro 20 2 10 -0.911958496373594
7 UniPro 20 2 11 -0.911958496373594
7 UniPro 20 2 12 -0.911958496373594
7 UniPro 20 2 13 -0.967729543984981
7 UniPro 20 2 14 -0.967729543984981
7 UniPro 20 2 15 -0.967729543984981
7 UniPro 20 2 16 -0.985470478355435
7 UniPro 20 2 17 -1.00370412889468
7 UniPro 20 2 18 -1.00370412889468
7 UniPro 20 2 19 -1.02862919600178
7 UniPro 20 2 20 -1.02862919600178
7 UniPro 20 2 21 -1.02862919600178
7 UniPro 20 2 22 -1.02862919600178
7 UniPro 20 2 23 -1.02862919600178
7 UniPro 20 2 24 -1.02862919600178
7 UniPro 20 2 25 -1.02862919600178
7 UniPro 20 2 26 -1.02862919600178
7 UniPro 20 2 27 -1.02862919600178
7 UniPro 20 2 28 -1.02862919600178
7 UniPro 20 2 29 -1.02862919600178
7 UniPro 20 2 30 -1.02881315023459
9 UniPro 20 2 1 -0.777859492098787
9 UniPro 20 2 2 -0.777859492098787
9 UniPro 20 2 3 -0.777859492098787
9 UniPro 20 2 4 -0.777859492098787
9 UniPro 20 2 5 -0.777859492098787
9 UniPro 20 2 6 -0.777859492098787
9 UniPro 20 2 7 -0.777859492098787
9 UniPro 20 2 8 -0.970667144123799
9 UniPro 20 2 9 -0.970667144123799
9 UniPro 20 2 10 -0.970667144123799
9 UniPro 20 2 11 -0.970667144123799
9 UniPro 20 2 12 -1.02075237781411
9 UniPro 20 2 13 -1.02075237781411
9 UniPro 20 2 14 -1.02075237781411
9 UniPro 20 2 15 -1.02075237781411
9 UniPro 20 2 16 -1.02075237781411
9 UniPro 20 2 17 -1.02075237781411
9 UniPro 20 2 18 -1.02075237781411
9 UniPro 20 2 19 -1.02075237781411
9 UniPro 20 2 20 -1.03053185602197
9 UniPro 20 2 21 -1.03053185602197
9 UniPro 20 2 22 -1.03053185602197
9 UniPro 20 2 23 -1.03053185602197
9 UniPro 20 2 24 -1.03053185602197
9 UniPro 20 2 25 -1.03053185602197
9 UniPro 20 2 26 -1.03057060914962
9 UniPro 20 2 27 -1.03057060914962
9 UniPro 20 2 28 -1.03057060914962
9 UniPro 20 2 29 -1.03057060914962
9 UniPro 20 2 30 -1.03057060914962
5 UniPro 20 2 1 -0.785778400026136
5 UniPro 20 2 2 -0.785778400026136
5 UniPro 20 2 3 -0.785778400026136
5 UniPro 20 2 4 -0.785778400026136
5 UniPro 20 2 5 -0.983073658239271
5 UniPro 20 2 6 -0.983073658239271
5 UniPro 20 2 7 -0.983073658239271
5 UniPro 20 2 8 -0.983073658239271
5 UniPro 20 2 9 -0.983073658239271
5 UniPro 20 2 10 -0.983073658239271
5 UniPro 20 2 11 -0.983073658239271
5 UniPro 20 2 12 -0.983073658239271
5 UniPro 20 2 13 -0.983073658239271
5 UniPro 20 2 14 -0.983073658239271
5 UniPro 20 2 15 -0.983073658239271
5 UniPro 20 2 16 -1.00767538811139
5 UniPro 20 2 17 -1.00767538811139
5 UniPro 20 2 18 -1.03147572325436
5 UniPro 20 2 19 -1.03147572325436
5 UniPro 20 2 20 -1.03147572325436
5 UniPro 20 2 21 -1.03147572325436
5 UniPro 20 2 22 -1.03147572325436
5 UniPro 20 2 23 -1.03147572325436
5 UniPro 20 2 24 -1.03147572325436
5 UniPro 20 2 25 -1.03147572325436
5 UniPro 20 2 26 -1.03147572325436
5 UniPro 20 2 27 -1.03147572325436
5 UniPro 20 2 28 -1.03147572325436
5 UniPro 20 2 29 -1.03147572325436
5 UniPro 20 2 30 -1.03147572325436
4 UniPro 20 2 1 -0.777859492098787
4 UniPro 20 2 2 -0.777859492098787
4 UniPro 20 2 3 -0.777859492098787
4 UniPro 20 2 4 -0.777859492098787
4 UniPro 20 2 5 -0.777859492098787
4 UniPro 20 2 6 -0.777859492098787
4 UniPro 20 2 7 -0.777859492098787
4 UniPro 20 2 8 -0.777859492098787
4 UniPro 20 2 9 -1.03152627762504
4 UniPro 20 2 10 -1.03152627762504
4 UniPro 20 2 11 -1.03152627762504
4 UniPro 20 2 12 -1.03152627762504
4 UniPro 20 2 13 -1.03152627762504
4 UniPro 20 2 14 -1.03152627762504
4 UniPro 20 2 15 -1.03152627762504
4 UniPro 20 2 16 -1.03152627762504
4 UniPro 20 2 17 -1.03152627762504
4 UniPro 20 2 18 -1.03152627762504
4 UniPro 20 2 19 -1.03152627762504
4 UniPro 20 2 20 -1.03152627762504
4 UniPro 20 2 21 -1.03152627762504
4 UniPro 20 2 22 -1.03152627762504
4 UniPro 20 2 23 -1.03152627762504
4 UniPro 20 2 24 -1.03152627762504
4 UniPro 20 2 25 -1.03152627762504
4 UniPro 20 2 26 -1.03152627762504
4 UniPro 20 2 27 -1.03152627762504
4 UniPro 20 2 28 -1.03152627762504
4 UniPro 20 2 29 -1.03152627762504
4 UniPro 20 2 30 -1.03152627762504
2 UniPro 20 2 1 -0.119945571855697
2 UniPro 20 2 2 -0.20624957312302
2 UniPro 20 2 3 -0.20624957312302
2 UniPro 20 2 4 -0.20624957312302
2 UniPro 20 2 5 -0.20624957312302
2 UniPro 20 2 6 -0.20624957312302
2 UniPro 20 2 7 -1.01941768018548
2 UniPro 20 2 8 -1.01941768018548
2 UniPro 20 2 9 -1.01941768018548
2 UniPro 20 2 10 -1.02467346210712
2 UniPro 20 2 11 -1.02467346210712
2 UniPro 20 2 12 -1.02467346210712
2 UniPro 20 2 13 -1.02467346210712
2 UniPro 20 2 14 -1.02467346210712
2 UniPro 20 2 15 -1.02467346210712
2 UniPro 20 2 16 -1.02467346210712
2 UniPro 20 2 17 -1.02467346210712
2 UniPro 20 2 18 -1.02712248045061
2 UniPro 20 2 19 -1.02712248045061
2 UniPro 20 2 20 -1.02712248045061
2 UniPro 20 2 21 -1.02712248045061
2 UniPro 20 2 22 -1.02783026324926
2 UniPro 20 2 23 -1.02783026324926
2 UniPro 20 2 24 -1.02783026324926
2 UniPro 20 2 25 -1.02783026324926
2 UniPro 20 2 26 -1.02783026324926
2 UniPro 20 2 27 -1.02941428419726
2 UniPro 20 2 28 -1.02941428419726
2 UniPro 20 2 29 -1.03148215167241
2 UniPro 20 2 30 -1.03148215167241
10 UniPro 20 2 1 -0.210828852370732
10 UniPro 20 2 2 -0.210828852370732
10 UniPro 20 2 3 -0.210828852370732
10 UniPro 20 2 4 -0.210828852370732
10 UniPro 20 2 5 -0.354710493659992
10 UniPro 20 2 6 -0.901455044876933
10 UniPro 20 2 7 -0.901455044876933
10 UniPro 20 2 8 -0.990459050646443
10 UniPro 20 2 9 -0.990459050646443
10 UniPro 20 2 10 -0.990459050646443
10 UniPro 20 2 11 -0.990459050646443
10 UniPro 20 2 12 -0.990459050646443
10 UniPro 20 2 13 -0.990459050646443
10 UniPro 20 2 14 -0.990459050646443
10 UniPro 20 2 15 -0.990459050646443
10 UniPro 20 2 16 -1.01137647592175
10 UniPro 20 2 17 -1.02716101020102
10 UniPro 20 2 18 -1.02716101020102
10 UniPro 20 2 19 -1.02716101020102
10 UniPro 20 2 20 -1.03101696572249
10 UniPro 20 2 21 -1.03101696572249
10 UniPro 20 2 22 -1.03101696572249
10 UniPro 20 2 23 -1.03101696572249
10 UniPro 20 2 24 -1.03101696572249
10 UniPro 20 2 25 -1.03101696572249
10 UniPro 20 2 26 -1.03101696572249
10 UniPro 20 2 27 -1.03101696572249
10 UniPro 20 2 28 -1.03101696572249
10 UniPro 20 2 29 -1.03101696572249
10 UniPro 20 2 30 -1.03101696572249
13 UniPro 20 2 1 -1.01054647270821
13 UniPro 20 2 2 -1.01054647270821
13 UniPro 20 2 3 -1.01054647270821
13 UniPro 20 2 4 -1.01054647270821
13 UniPro 20 2 5 -1.01054647270821
13 UniPro 20 2 6 -1.01054647270821
13 UniPro 20 2 7 -1.01054647270821
13 UniPro 20 2 8 -1.01054647270821
13 UniPro 20 2 9 -1.01054647270821
13 UniPro 20 2 10 -1.01054647270821
13 UniPro 20 2 11 -1.01054647270821
13 UniPro 20 2 12 -1.01054647270821
13 UniPro 20 2 13 -1.01054647270821
13 UniPro 20 2 14 -1.01054647270821
13 UniPro 20 2 15 -1.02725161626545
13 UniPro 20 2 16 -1.02725161626545
13 UniPro 20 2 17 -1.02725161626545
13 UniPro 20 2 18 -1.02725161626545
13 UniPro 20 2 19 -1.02725161626545
13 UniPro 20 2 20 -1.02725161626545
13 UniPro 20 2 21 -1.02725161626545
13 UniPro 20 2 22 -1.02725161626545
13 UniPro 20 2 23 -1.02725161626545
13 UniPro 20 2 24 -1.02725161626545
13 UniPro 20 2 25 -1.03096168983392
13 UniPro 20 2 26 -1.03096168983392
13 UniPro 20 2 27 -1.03096168983392
13 UniPro 20 2 28 -1.03096168983392
13 UniPro 20 2 29 -1.03096168983392
13 UniPro 20 2 30 -1.03096168983392
17 UniPro 20 2 1 -1.01054647270821
17 UniPro 20 2 2 -1.01054647270821
17 UniPro 20 2 3 -1.01054647270821
17 UniPro 20 2 4 -1.01054647270821
17 UniPro 20 2 5 -1.01054647270821
17 UniPro 20 2 6 -1.01054647270821
17 UniPro 20 2 7 -1.01054647270821
17 UniPro 20 2 8 -1.01054647270821
17 UniPro 20 2 9 -1.01054647270821
17 UniPro 20 2 10 -1.01054647270821
17 UniPro 20 2 11 -1.01054647270821
17 UniPro 20 2 12 -1.01054647270821
17 UniPro 20 2 13 -1.01054647270821
17 UniPro 20 2 14 -1.01054647270821
17 UniPro 20 2 15 -1.01054647270821
17 UniPro 20 2 16 -1.0143238911873
17 UniPro 20 2 17 -1.02785659599487
17 UniPro 20 2 18 -1.02785659599487
17 UniPro 20 2 19 -1.02785659599487
17 UniPro 20 2 20 -1.02785659599487
17 UniPro 20 2 21 -1.02785659599487
17 UniPro 20 2 22 -1.02785659599487
17 UniPro 20 2 23 -1.02785659599487
17 UniPro 20 2 24 -1.02785659599487
17 UniPro 20 2 25 -1.02785659599487
17 UniPro 20 2 26 -1.02785659599487
17 UniPro 20 2 27 -1.02785659599487
17 UniPro 20 2 28 -1.02785659599487
17 UniPro 20 2 29 -1.03068577536231
17 UniPro 20 2 30 -1.03068577536231
15 UniPro 20 2 1 -1.01054647270821
15 UniPro 20 2 2 -1.01054647270821
15 UniPro 20 2 3 -1.01054647270821
15 UniPro 20 2 4 -1.01054647270821
15 UniPro 20 2 5 -1.01054647270821
15 UniPro 20 2 6 -1.01054647270821
15 UniPro 20 2 7 -1.01054647270821
15 UniPro 20 2 8 -1.01054647270821
15 UniPro 20 2 9 -1.01054647270821
15 UniPro 20 2 10 -1.01054647270821
15 UniPro 20 2 11 -1.01054647270821
15 UniPro 20 2 12 -1.01054647270821
15 UniPro 20 2 13 -1.01054647270821
15 UniPro 20 2 14 -1.01054647270821
15 UniPro 20 2 15 -1.01726116540047
15 UniPro 20 2 16 -1.01726116540047
15 UniPro 20 2 17 -1.01726116540047
15 UniPro 20 2 18 -1.01726116540047
15 UniPro 20 2 19 -1.01726116540047
15 UniPro 20 2 20 -1.01726116540047
15 UniPro 20 2 21 -1.01726116540047
15 UniPro 20 2 22 -1.01726116540047
15 UniPro 20 2 23 -1.01726116540047
15 UniPro 20 2 24 -1.01726116540047
15 UniPro 20 2 25 -1.03097266820226
15 UniPro 20 2 26 -1.03097266820226
15 UniPro 20 2 27 -1.03097266820226
15 UniPro 20 2 28 -1.03097266820226
15 UniPro 20 2 29 -1.03097266820226
15 UniPro 20 2 30 -1.03097266820226
14 UniPro 20 2 1 -1.01054647270821
14 UniPro 20 2 2 -1.01054647270821
14 UniPro 20 2 3 -1.01054647270821
14 UniPro 20 2 4 -1.01054647270821
14 UniPro 20 2 5 -1.01054647270821
14 UniPro 20 2 6 -1.01054647270821
14 UniPro 20 2 7 -1.01054647270821
14 UniPro 20 2 8 -1.01054647270821
14 UniPro 20 2 9 -1.01054647270821
14 UniPro 20 2 10 -1.01054647270821
14 UniPro 20 2 11 -1.01054647270821
14 UniPro 20 2 12 -1.01054647270821
14 UniPro 20 2 13 -1.01054647270821
14 UniPro 20 2 14 -1.01054647270821
14 UniPro 20 2 15 -1.01054647270821
14 UniPro 20 2 16 -1.01823357435246
14 UniPro 20 2 17 -1.01823357435246
14 UniPro 20 2 18 -1.01823357435246
14 UniPro 20 2 19 -1.01823357435246
14 UniPro 20 2 20 -1.02292546570199
14 UniPro 20 2 21 -1.02928759074074
14 UniPro 20 2 22 -1.02928759074074
14 UniPro 20 2 23 -1.02928759074074
14 UniPro 20 2 24 -1.02928759074074
14 UniPro 20 2 25 -1.02928759074074
14 UniPro 20 2 26 -1.03111022383663
14 UniPro 20 2 27 -1.03111022383663
14 UniPro 20 2 28 -1.03111022383663
14 UniPro 20 2 29 -1.03111022383663
14 UniPro 20 2 30 -1.03111022383663
16 UniPro 20 2 1 -0.777859492098787
16 UniPro 20 2 2 -0.777859492098787
16 UniPro 20 2 3 -0.777859492098787
16 UniPro 20 2 4 -0.777859492098787
16 UniPro 20 2 5 -0.777859492098787
16 UniPro 20 2 6 -0.777859492098787
16 UniPro 20 2 7 -0.895656615012978
16 UniPro 20 2 8 -0.895656615012978
16 UniPro 20 2 9 -1.00892878578502
16 UniPro 20 2 10 -1.00892878578502
16 UniPro 20 2 11 -1.00892878578502
16 UniPro 20 2 12 -1.00892878578502
16 UniPro 20 2 13 -1.00892878578502
16 UniPro 20 2 14 -1.00892878578502
16 UniPro 20 2 15 -1.02519263332384
16 UniPro 20 2 16 -1.02519263332384
16 UniPro 20 2 17 -1.02519263332384
