iteration design nrow ncol nstep y 
3 UniPro 40 4 1 3.87431847276796
3 UniPro 40 4 2 3.87431847276796
3 UniPro 40 4 3 1.43113357025754
3 UniPro 40 4 4 1.43113357025754
3 UniPro 40 4 5 1.43113357025754
3 UniPro 40 4 6 1.43113357025754
3 UniPro 40 4 7 1.31888645885002
3 UniPro 40 4 8 1.31888645885002
3 UniPro 40 4 9 1.31888645885002
3 UniPro 40 4 10 1.31888645885002
3 UniPro 40 4 11 1.29858271903816
3 UniPro 40 4 12 1.29858271903816
3 UniPro 40 4 13 1.29858271903816
3 UniPro 40 4 14 1.29858271903816
3 UniPro 40 4 15 1.29858271903816
3 UniPro 40 4 16 0.35532170821995
3 UniPro 40 4 17 0.35532170821995
3 UniPro 40 4 18 0.35532170821995
3 UniPro 40 4 19 0.35532170821995
3 UniPro 40 4 20 0.35532170821995
3 UniPro 40 4 21 0.35532170821995
3 UniPro 40 4 22 0.35532170821995
3 UniPro 40 4 23 0.35532170821995
3 UniPro 40 4 24 0.35532170821995
3 UniPro 40 4 25 0.35532170821995
3 UniPro 40 4 26 0.35532170821995
3 UniPro 40 4 27 0.35532170821995
3 UniPro 40 4 28 0.35532170821995
3 UniPro 40 4 29 0.35532170821995
3 UniPro 40 4 30 0.35532170821995
5 UniPro 40 4 1 3.81619228475715
5 UniPro 40 4 2 3.81619228475715
5 UniPro 40 4 3 3.81619228475715
5 UniPro 40 4 4 3.10218277138989
5 UniPro 40 4 5 3.10218277138989
5 UniPro 40 4 6 3.10218277138989
5 UniPro 40 4 7 3.10218277138989
5 UniPro 40 4 8 3.10218277138989
5 UniPro 40 4 9 3.10218277138989
5 UniPro 40 4 10 3.10218277138989
5 UniPro 40 4 11 2.57914615546179
5 UniPro 40 4 12 2.57914615546179
5 UniPro 40 4 13 2.57914615546179
5 UniPro 40 4 14 2.57914615546179
5 UniPro 40 4 15 1.85494095685996
5 UniPro 40 4 16 1.85494095685996
5 UniPro 40 4 17 1.85494095685996
5 UniPro 40 4 18 1.85494095685996
5 UniPro 40 4 19 1.85494095685996
5 UniPro 40 4 20 1.85494095685996
5 UniPro 40 4 21 1.85494095685996
5 UniPro 40 4 22 1.85494095685996
5 UniPro 40 4 23 1.85494095685996
5 UniPro 40 4 24 1.85494095685996
5 UniPro 40 4 25 1.85494095685996
5 UniPro 40 4 26 1.85494095685996
5 UniPro 40 4 27 1.85494095685996
5 UniPro 40 4 28 1.85494095685996
5 UniPro 40 4 29 0.580553486297242
5 UniPro 40 4 30 0.580553486297242
6 UniPro 40 4 1 2.96564271130768
6 UniPro 40 4 2 2.96564271130768
6 UniPro 40 4 3 1.39601799424502
6 UniPro 40 4 4 1.39601799424502
6 UniPro 40 4 5 1.39601799424502
6 UniPro 40 4 6 1.39601799424502
6 UniPro 40 4 7 1.39601799424502
6 UniPro 40 4 8 1.39601799424502
6 UniPro 40 4 9 1.39601799424502
6 UniPro 40 4 10 1.39601799424502
6 UniPro 40 4 11 1.39601799424502
6 UniPro 40 4 12 1.39601799424502
6 UniPro 40 4 13 1.39601799424502
6 UniPro 40 4 14 1.39601799424502
6 UniPro 40 4 15 1.26745636769613
6 UniPro 40 4 16 1.26745636769613
6 UniPro 40 4 17 1.26745636769613
6 UniPro 40 4 18 1.26745636769613
6 UniPro 40 4 19 1.26745636769613
6 UniPro 40 4 20 1.26745636769613
6 UniPro 40 4 21 1.26745636769613
6 UniPro 40 4 22 1.26745636769613
6 UniPro 40 4 23 1.26745636769613
6 UniPro 40 4 24 1.26745636769613
6 UniPro 40 4 25 1.26745636769613
6 UniPro 40 4 26 1.26745636769613
6 UniPro 40 4 27 1.26745636769613
6 UniPro 40 4 28 1.26745636769613
6 UniPro 40 4 29 1.26745636769613
6 UniPro 40 4 30 1.23232313096409
9 UniPro 40 4 1 2.55975211187753
9 UniPro 40 4 2 2.42129124276894
9 UniPro 40 4 3 2.42129124276894
9 UniPro 40 4 4 2.42129124276894
9 UniPro 40 4 5 2.42129124276894
9 UniPro 40 4 6 2.42129124276894
9 UniPro 40 4 7 2.42129124276894
9 UniPro 40 4 8 2.42129124276894
9 UniPro 40 4 9 2.42129124276894
9 UniPro 40 4 10 2.42129124276894
9 UniPro 40 4 11 2.42129124276894
9 UniPro 40 4 12 2.42129124276894
9 UniPro 40 4 13 2.42129124276894
9 UniPro 40 4 14 2.42129124276894
9 UniPro 40 4 15 2.42129124276894
9 UniPro 40 4 16 2.42129124276894
9 UniPro 40 4 17 2.42129124276894
9 UniPro 40 4 18 0.878364178667414
9 UniPro 40 4 19 0.878364178667414
9 UniPro 40 4 20 0.878364178667414
9 UniPro 40 4 21 0.878364178667414
9 UniPro 40 4 22 0.878364178667414
9 UniPro 40 4 23 0.878364178667414
9 UniPro 40 4 24 0.878364178667414
9 UniPro 40 4 25 0.878364178667414
9 UniPro 40 4 26 0.878364178667414
9 UniPro 40 4 27 0.878364178667414
9 UniPro 40 4 28 0.878364178667414
9 UniPro 40 4 29 0.878364178667414
9 UniPro 40 4 30 0.878364178667414
7 UniPro 40 4 1 3.07806623955957
7 UniPro 40 4 2 3.07806623955957
7 UniPro 40 4 3 3.07806623955957
7 UniPro 40 4 4 3.07806623955957
7 UniPro 40 4 5 3.07806623955957
7 UniPro 40 4 6 3.07806623955957
7 UniPro 40 4 7 3.07806623955957
7 UniPro 40 4 8 3.07806623955957
7 UniPro 40 4 9 3.07806623955957
