iteration design nrow ncol nstep y 
1 UniPro 40 4 1 -1.44030886654121
1 UniPro 40 4 2 -1.44030886654121
1 UniPro 40 4 3 -1.44030886654121
1 UniPro 40 4 4 -1.44030886654121
1 UniPro 40 4 5 -1.44030886654121
1 UniPro 40 4 6 -1.60113534712346
1 UniPro 40 4 7 -1.60113534712346
1 UniPro 40 4 8 -1.60113534712346
1 UniPro 40 4 9 -1.60113534712346
1 UniPro 40 4 10 -1.60113534712346
1 UniPro 40 4 11 -1.60113534712346
1 UniPro 40 4 12 -1.60113534712346
1 UniPro 40 4 13 -1.60113534712346
1 UniPro 40 4 14 -1.60113534712346
1 UniPro 40 4 15 -1.60113534712346
1 UniPro 40 4 16 -1.60113534712346
1 UniPro 40 4 17 -1.60113534712346
1 UniPro 40 4 18 -1.60113534712346
1 UniPro 40 4 19 -1.9244528511193
1 UniPro 40 4 20 -1.9244528511193
1 UniPro 40 4 21 -1.9244528511193
1 UniPro 40 4 22 -1.9244528511193
1 UniPro 40 4 23 -1.9244528511193
1 UniPro 40 4 24 -1.9244528511193
1 UniPro 40 4 25 -1.9244528511193
1 UniPro 40 4 26 -1.9244528511193
1 UniPro 40 4 27 -1.9244528511193
1 UniPro 40 4 28 -1.9244528511193
1 UniPro 40 4 29 -1.9244528511193
1 UniPro 40 4 30 -1.9244528511193
4 UniPro 40 4 1 -1.23301031595607
4 UniPro 40 4 2 -1.2864325712523
4 UniPro 40 4 3 -1.2864325712523
4 UniPro 40 4 4 -1.2864325712523
4 UniPro 40 4 5 -1.2864325712523
4 UniPro 40 4 6 -2.1103978401286
4 UniPro 40 4 7 -2.1103978401286
4 UniPro 40 4 8 -2.21791394837577
4 UniPro 40 4 9 -2.21791394837577
4 UniPro 40 4 10 -2.21791394837577
4 UniPro 40 4 11 -2.21791394837577
4 UniPro 40 4 12 -2.21791394837577
4 UniPro 40 4 13 -2.21791394837577
4 UniPro 40 4 14 -2.21791394837577
4 UniPro 40 4 15 -2.21791394837577
4 UniPro 40 4 16 -2.21791394837577
4 UniPro 40 4 17 -2.21791394837577
4 UniPro 40 4 18 -2.21791394837577
4 UniPro 40 4 19 -2.21791394837577
4 UniPro 40 4 20 -2.21791394837577
4 UniPro 40 4 21 -2.21791394837577
4 UniPro 40 4 22 -2.21791394837577
4 UniPro 40 4 23 -2.21791394837577
4 UniPro 40 4 24 -2.21791394837577
4 UniPro 40 4 25 -2.21791394837577
4 UniPro 40 4 26 -2.21791394837577
