iteration design nrow ncol nstep y 
4 UniPro 80 8 1 128.342903652607
4 UniPro 80 8 2 128.342903652607
4 UniPro 80 8 3 128.342903652607
4 UniPro 80 8 4 128.342903652607
4 UniPro 80 8 5 128.342903652607
4 UniPro 80 8 6 128.342903652607
4 UniPro 80 8 7 128.342903652607
4 UniPro 80 8 8 128.342903652607
4 UniPro 80 8 9 124.948793080843
4 UniPro 80 8 10 61.2395744693811
4 UniPro 80 8 11 61.2395744693811
4 UniPro 80 8 12 61.2395744693811
4 UniPro 80 8 13 61.2395744693811
4 UniPro 80 8 14 61.2395744693811
4 UniPro 80 8 15 61.2395744693811
4 UniPro 80 8 16 61.2395744693811
4 UniPro 80 8 17 61.2395744693811
4 UniPro 80 8 18 61.2395744693811
4 UniPro 80 8 19 61.2395744693811
4 UniPro 80 8 20 61.2395744693811
4 UniPro 80 8 21 61.2395744693811
4 UniPro 80 8 22 61.2395744693811
4 UniPro 80 8 23 61.2395744693811
4 UniPro 80 8 24 59.1795263941505
4 UniPro 80 8 25 40.6643144168689
4 UniPro 80 8 26 40.6643144168689
4 UniPro 80 8 27 40.6643144168689
4 UniPro 80 8 28 40.6643144168689
4 UniPro 80 8 29 40.6643144168689
4 UniPro 80 8 30 40.6643144168689
2 UniPro 80 8 1 99.4671646710056
2 UniPro 80 8 2 99.4671646710056
2 UniPro 80 8 3 99.4671646710056
2 UniPro 80 8 4 41.6054379251038
2 UniPro 80 8 5 41.6054379251038
2 UniPro 80 8 6 41.6054379251038
2 UniPro 80 8 7 41.6054379251038
2 UniPro 80 8 8 41.6054379251038
2 UniPro 80 8 9 41.6054379251038
2 UniPro 80 8 10 41.6054379251038
2 UniPro 80 8 11 41.6054379251038
2 UniPro 80 8 12 41.6054379251038
2 UniPro 80 8 13 41.6054379251038
2 UniPro 80 8 14 41.6054379251038
2 UniPro 80 8 15 41.6054379251038
2 UniPro 80 8 16 41.6054379251038
2 UniPro 80 8 17 41.6054379251038
2 UniPro 80 8 18 41.6054379251038
