"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",30,3,20,955,0.286656891495601,0.306011730205279,0.86466275659824,0.392368827160497,0.3843029835391,0.387704903978055,0.389241255144029,0.393768004115225,0.390146604938267,0.388390775034289,0.392204218106991,0.397307098765433,0.389460733882033
"2",30,3,96,563,0.479325513196481,0.767008797653959,0.377272727272727,0.388966906721536,0.388034122085046,0.38630572702332,0.379474451303152,0.384604766803846,0.394892832647459,0.393987482853221,0.394399005486962,0.390036865569272,0.39009173525377
"3",30,3,68,813,0.27258064516129,0.886656891495601,0.248826979472141,0.386991598079561,0.388774862825791,0.39615483539094,0.386003943758574,0.388719993141294,0.394344135802464,0.391463477366252,0.388006687242794,0.385894204389579,0.385811899862816
"4",30,3,14,560,0.611290322580645,0.817155425219941,0.847067448680352,0.400105452674895,0.402382544581623,0.396209705075437,0.407595164609052,0.393191872427992,0.397746056241419,0.406360596707823,0.405757030178332,0.401120541838135,0.394289266117967
"5",30,3,76,863,0.598973607038123,0.339442815249267,0.540029325513196,0.386388031550063,0.391189128943766,0.391875,0.393630829903985,0.388281035665287,0.385372942386844,0.389570473251027,0.39088734567902,0.396895576131692,0.38622342249657
"6",30,3,97,1413,0.647360703812317,0.320967741935484,0.0755131964809384,0.390338648834018,0.383836591220856,0.389323559670772,0.39365826474623,0.398459362139919,0.38987225651578,0.389927126200271,0.388143861454048,0.398953189300416,0.385674725651569
"7",30,3,95,783,0.679032258064516,0.346480938416422,0.633284457478006,0.38622342249657,0.384357853223598,0.38902177640604,0.38353480795611,0.385784465020585,0.386580075445814,0.390640432098757,0.386250857338823,0.392149348422501,0.392560871056241
"8",30,3,47,809,0.501319648093842,0.705425219941349,0.652639296187683,0.385180898491086,0.393685699588482,0.386497770919064,0.381971021947869,0.385427812071328,0.38858281893004,0.390585562414267,0.387704903978055,0.383946330589857,0.38688185871056
"9",30,3,56,1376,0.76524926686217,0.777565982404692,0.898093841642229,0.386634945130311,0.389186385459539,0.395688443072702,0.390064300411525,0.38688185871056,0.3877323388203,0.387512860082297,0.390585562414267,0.391545781893009,0.385976508916315
"10",30,3,66,1353,0.506598240469208,0.444134897360704,0.393988269794721,0.385647290809324,0.38509859396433,0.391600651577513,0.387183641975306,0.382711762688615,0.389405864197528,0.382711762688615,0.385153463648827,0.390530692729769,0.388774862825791
"11",30,3,17,839,0.605131964809384,0.368475073313783,0.725659824046921,0.391051954732512,0.388692558299042,0.392259087791488,0.391820130315503,0.388527949245543,0.39102451989026,0.394865397805214,0.391737825788753,0.396676097393689,0.385564986282574
"12",30,3,80,1399,0.598093841642229,0.328005865102639,0.908651026392962,0.384001200274348,0.383287894375854,0.390064300411525,0.377142489711942,0.392478566529499,0.38959790809328,0.3843029835391,0.389652777777777,0.395496399176951,0.385949074074084
"13",30,3,59,804,0.204838709677419,0.861143695014663,0.889296187683284,0.393082133058983,0.389460733882033,0.386909293552805,0.388061556927298,0.387293381344307,0.388692558299042,0.392259087791488,0.388363340192051,0.390722736625521,0.385208333333331
"14",30,3,12,1460,0.628005865102639,0.222434017595308,0.35,0.394673353909455,0.388802297668037,0.388692558299042,0.385784465020585,0.389186385459539,0.392039609053492,0.389625342935525,0.391271433470515,0.386497770919064,0.387842078189295
"15",30,3,31,977,0.569061583577713,0.159090909090909,0.539149560117302,0.397197359396424,0.390612997256512,0.39437157064473,0.389433299039788,0.392670610425236,0.384083504801097,0.384577331961587,0.395468964334705,0.396676097393689,0.397115054869689
"16",30,3,24,793,0.675513196480938,0.179325513196481,0.445894428152493,0.381724108367627,0.387814643347049,0.394289266117967,0.387924382716044,0.390201474622764,0.38973508230452,0.39044838820302,0.391326303155005,0.393877743484226,0.392396262002742
"17",30,3,22,970,0.750293255131965,0.367595307917889,0.176686217008798,0.395057441700958,0.401394890260635,0.392094478737989,0.403068415637871,0.394865397805214,0.388335905349785,0.401367455418383,0.395551268861448,0.3877323388203,0.396648662551437
"18",30,3,91,1329,0.0719941348973607,0.786363636363636,0.863782991202346,0.381971021947869,0.390722736625521,0.388857167352534,0.385372942386844,0.388802297668037,0.392286522633747,0.387814643347049,0.387128772290808,0.391051954732512,0.38915895061728
"19",30,3,44,555,0.375513196480938,0.891055718475073,0.0517595307917889,0.397746056241419,0.401312585733879,0.397307098765433,0.397389403292182,0.397471707818932,0.399419581618661,0.398569101508914,0.385921639231818,0.396127400548701,0.399282407407407
"20",30,3,28,644,0.126539589442815,0.563782991202346,0.869941348973607,0.403370198902596,0.393987482853221,0.399611625514398,0.400901063100138,0.38987225651578,0.390420953360768,0.390064300411525,0.406854423868314,0.396895576131692,0.39379543895747
"21",30,3,23,756,0.938563049853372,0.884017595307918,0.884897360703812,0.418459362139925,0.425400377229088,0.426113683127574,0.412972393689988,0.420818758573395,0.424083504801095,0.426470336076824,0.416895576131684,0.426744684499311,0.419172668038419
"22",30,3,43,1481,0.895454545454546,0.499560117302053,0.131818181818182,0.424659636488335,0.403534807956102,0.409762517146785,0.403809156378596,0.410914780521264,0.400160322359393,0.399940843621403,0.390942215363517,0.413905178326471,0.407320816186559
"23",30,3,53,1436,0.752932551319648,0.31217008797654,0.338563049853372,0.386250857338823,0.388747427983539,0.386964163237309,0.391243998628263,0.3843029835391,0.386909293552805,0.386141117969821,0.383699417009602,0.387485425240065,0.39401491769548
"24",30,3,29,880,0.321847507331378,0.262023460410557,0.174926686217009,0.388473079561052,0.389378429355276,0.390475823045265,0.391957304526749,0.395990226337448,0.389707647462281,0.389543038408782,0.389076646090537,0.386058813443071,0.387622599451298
"25",30,3,26,696,0.265542521994135,0.902492668621701,0.213636363636364,0.390119170096029,0.392341392318238,0.388527949245543,0.391545781893009,0.390036865569272,0.399035493827166,0.392999828532234,0.387211076817558,0.384961419753097,0.390119170096029
"26",30,3,21,509,0.783724340175953,0.186363636363636,0.0667155425219941,0.476621227709181,0.468527949245533,0.427567729766799,0.478102709190666,0.457416838134425,0.474783093278468,0.475441529492464,0.472588305898497,0.497526577503425,0.479831104252398
