method values ind nstep y
RSO 0.386080761316874 X1 1 0.386080761316874
RSO 0.386080761316874 X1 2 0.386080761316874
RSO 0.386080761316874 X1 3 0.386080761316874
RSO 0.386080761316874 X1 4 0.386080761316874
RSO 0.386080761316874 X1 5 0.386080761316874
RSO 0.385707647462275 X1 6 0.385707647462275
RSO 0.385707647462275 X1 7 0.385707647462275
RSO 0.385707647462275 X1 8 0.385707647462275
RSO 0.385707647462275 X1 9 0.385707647462275
RSO 0.385707647462275 X1 10 0.385707647462275
RSO 0.385707647462275 X1 11 0.385707647462275
RSO 0.385707647462275 X1 12 0.385707647462275
RSO 0.385707647462275 X1 13 0.385707647462275
RSO 0.385707647462275 X1 14 0.385707647462275
RSO 0.385707647462275 X1 15 0.385707647462275
RSO 0.385707647462275 X1 16 0.385707647462275
RSO 0.385707647462275 X1 17 0.385707647462275
RSO 0.384964163237313 X1 18 0.384964163237313
RSO 0.384964163237313 X1 19 0.384964163237313
RSO 0.384964163237313 X1 20 0.384964163237313
RSO 0.384964163237313 X1 21 0.384964163237313
RSO 0.384964163237313 X1 22 0.384964163237313
RSO 0.384964163237313 X1 23 0.384964163237313
RSO 0.384964163237313 X1 24 0.384964163237313
RSO 0.384964163237313 X1 25 0.384964163237313
RSO 0.384964163237313 X1 26 0.384964163237313
RSO 0.38635510973937 X2 1 0.38635510973937
RSO 0.38635510973937 X2 2 0.38635510973937
RSO 0.38635510973937 X2 3 0.38635510973937
RSO 0.38635510973937 X2 4 0.38635510973937
RSO 0.38635510973937 X2 5 0.38635510973937
RSO 0.38635510973937 X2 6 0.38635510973937
RSO 0.38635510973937 X2 7 0.38635510973937
RSO 0.38635510973937 X2 8 0.38635510973937
RSO 0.38635510973937 X2 9 0.38635510973937
RSO 0.38635510973937 X2 10 0.38635510973937
RSO 0.38635510973937 X2 11 0.38635510973937
RSO 0.38635510973937 X2 12 0.38635510973937
RSO 0.38635510973937 X2 13 0.38635510973937
RSO 0.38635510973937 X2 14 0.38635510973937
