method values ind nstep y
RSO 0.113998189411825 X1 1 0.113998189411825
RSO 0.111325578509904 X1 2 0.111325578509904
RSO 0.106935417947552 X1 3 0.106935417947552
RSO 0.106935417947552 X1 4 0.106935417947552
RSO 0.106935417947552 X1 5 0.106935417947552
RSO 0.105010874035858 X1 6 0.105010874035858
RSO 0.105010874035858 X1 7 0.105010874035858
RSO 0.105010874035858 X1 8 0.105010874035858
RSO 0.105010874035858 X1 9 0.105010874035858
RSO 0.105010874035858 X1 10 0.105010874035858
RSO 0.105010874035858 X1 11 0.105010874035858
RSO 0.105010874035858 X1 12 0.105010874035858
RSO 0.105010874035858 X1 13 0.105010874035858
RSO 0.105010874035858 X1 14 0.105010874035858
RSO 0.105010874035858 X1 15 0.105010874035858
RSO 0.105010874035858 X1 16 0.105010874035858
RSO 0.105010874035858 X1 17 0.105010874035858
RSO 0.105010874035858 X1 18 0.105010874035858
RSO 0.105010874035858 X1 19 0.105010874035858
RSO 0.105010874035858 X1 20 0.105010874035858
RSO 0.104864665114976 X1 21 0.104864665114976
RSO 0.104864665114976 X1 22 0.104864665114976
RSO 0.104864665114976 X1 23 0.104864665114976
RSO 0.104864665114976 X1 24 0.104864665114976
RSO 0.104864665114976 X1 25 0.104864665114976
RSO 0.104864665114976 X1 26 0.104864665114976
RSO 0.112208872602215 X2 1 0.112208872602215
RSO 0.1072582312878 X2 2 0.1072582312878
RSO 0.106301974399371 X2 3 0.106301974399371
RSO 0.106301974399371 X2 4 0.106301974399371
RSO 0.106301974399371 X2 5 0.106301974399371
RSO 0.106301974399371 X2 6 0.106301974399371
RSO 0.106301974399371 X2 7 0.106301974399371
RSO 0.106301974399371 X2 8 0.106301974399371
RSO 0.106301974399371 X2 9 0.106301974399371
RSO 0.106301974399371 X2 10 0.106301974399371
RSO 0.106301974399371 X2 11 0.106301974399371
RSO 0.106301974399371 X2 12 0.106301974399371
RSO 0.104755135922205 X2 13 0.104755135922205
RSO 0.104755135922205 X2 14 0.104755135922205
RSO 0.104755135922205 X2 15 0.104755135922205
RSO 0.104703643771827 X2 16 0.104703643771827
RSO 0.104376127175851 X2 17 0.104376127175851
RSO 0.104376127175851 X2 18 0.104376127175851
RSO 0.104376127175851 X2 19 0.104376127175851
RSO 0.104376127175851 X2 20 0.104376127175851
RSO 0.104376127175851 X2 21 0.104376127175851
RSO 0.104376127175851 X2 22 0.104376127175851
RSO 0.104376127175851 X2 23 0.104376127175851
RSO 0.104327587310091 X2 24 0.104327587310091
RSO 0.104327587310091 X2 25 0.104327587310091
RSO 0.104327587310091 X2 26 0.104327587310091
RSO 0.109951162521099 X3 1 0.109951162521099
RSO 0.106020487377239 X3 2 0.106020487377239
RSO 0.106020487377239 X3 3 0.106020487377239
RSO 0.106020487377239 X3 4 0.106020487377239
RSO 0.106020487377239 X3 5 0.106020487377239
RSO 0.106020487377239 X3 6 0.106020487377239
RSO 0.106020487377239 X3 7 0.106020487377239
RSO 0.106020487377239 X3 8 0.106020487377239
RSO 0.104957030257617 X3 9 0.104957030257617
RSO 0.104957030257617 X3 10 0.104957030257617
RSO 0.104957030257617 X3 11 0.104957030257617
RSO 0.104957030257617 X3 12 0.104957030257617
